source_id,artifact_id,line_id,sign_sequence,provenance,notes,ingestion_timestamp,source_name,provenance_url
youngerarchive,ARKH 1,a.1_stmt,]TA PI,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,younger_table_statement,2026-02-24T02:56:37Z,YoungerArchive,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
youngerarchive,ARKH 1,a.2_stmt,A RA[,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,younger_table_statement,2026-02-24T02:56:37Z,YoungerArchive,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
youngerarchive,ARKH 1,a.4_stmt,]A SU MI,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,younger_table_statement,2026-02-24T02:56:37Z,YoungerArchive,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
youngerarchive,ARKH 1,a.5_stmt,A PA,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,younger_table_statement,2026-02-24T02:56:37Z,YoungerArchive,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
youngerarchive,ARKH 1,a.6_stmt,]MI KI SA NE[,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,younger_table_statement,2026-02-24T02:56:37Z,YoungerArchive,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
youngerarchive,ARKH 1,b.1_stmt,PA RE,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,younger_table_statement,2026-02-24T02:56:37Z,YoungerArchive,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
youngerarchive,ARKH 1,b.2_log,]PA3[,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,younger_table_logogram,2026-02-24T02:56:37Z,YoungerArchive,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
sigla,ARKH 1A,word_1,AB59 AB39,http://sigla.phis.me/document/ARKH%201a/index-word.html,sigla_word_seq_pattern,2026-02-24T02:56:37Z,SigLA,http://sigla.phis.me/document/ARKH%201a/index-word.html
sigla,ARKH 1A,word_2,AB67,http://sigla.phis.me/document/ARKH%201a/index-word.html,sigla_word_seq_pattern,2026-02-24T02:56:37Z,SigLA,http://sigla.phis.me/document/ARKH%201a/index-word.html
sigla,ARKH 1A,word_3,AB08 AB60,http://sigla.phis.me/document/ARKH%201a/index-word.html,sigla_word_seq_pattern,2026-02-24T02:56:37Z,SigLA,http://sigla.phis.me/document/ARKH%201a/index-word.html
sigla,ARKH 1A,word_4,AB08 AB58 AB73 AB118,http://sigla.phis.me/document/ARKH%201a/index-word.html,sigla_word_seq_pattern,2026-02-24T02:56:37Z,SigLA,http://sigla.phis.me/document/ARKH%201a/index-word.html
sigla,ARKH 1A,word_5,AB08 AB03 [?],http://sigla.phis.me/document/ARKH%201a/index-word.html,sigla_word_seq_pattern,2026-02-24T02:56:37Z,SigLA,http://sigla.phis.me/document/ARKH%201a/index-word.html
sigla,ARKH 1A,word_6,AB73 AB67 AB31 AB24,http://sigla.phis.me/document/ARKH%201a/index-word.html,sigla_word_seq_pattern,2026-02-24T02:56:37Z,SigLA,http://sigla.phis.me/document/ARKH%201a/index-word.html
sigla,ARKH 1B,word_1,AB08,http://sigla.phis.me/document/ARKH%201b/index-word.html,sigla_word_seq_pattern,2026-02-24T02:56:37Z,SigLA,http://sigla.phis.me/document/ARKH%201b/index-word.html
sigla,ARKH 1B,word_2,AB57 AB27,http://sigla.phis.me/document/ARKH%201b/index-word.html,sigla_word_seq_pattern,2026-02-24T02:56:37Z,SigLA,http://sigla.phis.me/document/ARKH%201b/index-word.html
sigla,ARKH 1B,word_3,AB56,http://sigla.phis.me/document/ARKH%201b/index-word.html,sigla_word_seq_pattern,2026-02-24T02:56:37Z,SigLA,http://sigla.phis.me/document/ARKH%201b/index-word.html
sigla,ARKH 1B,word_4,AB06,http://sigla.phis.me/document/ARKH%201b/index-word.html,sigla_word_seq_pattern,2026-02-24T02:56:37Z,SigLA,http://sigla.phis.me/document/ARKH%201b/index-word.html
