inscription_id,source_corpus,provenance_source_url,site_find_place,region,object_type,support_material,classification,formula_class,inscription_length,line_count,sign_count,word_count,sign_inventory_used,estimated_date_period,find_context,libation_formula_candidate,accounting_candidate,ideogram_presence,numeral_presence,damage_unreadability_level,confidence_provenance_notes
ARKH 1,local_merged_sigla_younger_internal,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,ARKH,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,16,7,16,16,A KI MI NE[ PA PI RA[ RE SA SU ]A ]MI ]PA3[ ]TA,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
ARKH 1A,local_merged_sigla_younger_internal,http://sigla.phis.me/document/ARKH%201a/index-word.html,ARKH,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,unclassified,16,6,16,16,AB03 AB08 AB118 AB24 AB31 AB39 AB58 AB59 AB60 AB67 AB73 [?],Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0625,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
ARKH 1B,local_merged_sigla_younger_internal,http://sigla.phis.me/document/ARKH%201b/index-word.html,ARKH,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,5,4,5,5,AB06 AB08 AB27 AB56 AB57,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
ARKH 2,local_merged_sigla_younger_internal,http://sigla.phis.me/document/ARKH%202/index-word.html; https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,ARKH,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,unclassified,44,13,44,44,A A301 AB01 AB04 AB05 AB08 AB09 AB118 AB131B AB21F AB26 AB28 AB41 AB45 AB50 AB54 AB58 AB60 AB73 AB79 AB81 DA DE I KU MI PU QIF RA RU SE SI SU TE TO VINB WA ZU,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
ARKH 3,local_merged_sigla_younger_internal,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,ARKH,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,14,10,14,14,GRA GRA[ JA KA NE NU OLE OLIV PI PU3 VINB ]KI ]PI ]VINA,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,1,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
ARKH 3A,local_merged_sigla_younger_internal,http://sigla.phis.me/document/ARKH%203a/index-word.html,ARKH,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,5,3,5,5,AB24 AB55 AB67 AB77 AB81,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
ARKH 3B,local_merged_sigla_younger_internal,http://sigla.phis.me/document/ARKH%203b/index-word.html,ARKH,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,5,2,5,5,A314 AB39 AB57 [?],Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.2000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
ARKH 4,local_merged_sigla_younger_internal,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,ARKH,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,unclassified,12,4,12,12,A KI MI NE PI RO SI TI ZA ZU ]DE,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
ARKH 4A,local_merged_sigla_younger_internal,http://sigla.phis.me/document/ARKH%204a/index-word.html,ARKH,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,unclassified,18,5,18,18,AB04 AB08 AB24 AB30 AB37 AB39 AB45 AB47 AB58 AB59 AB65 [?],Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.2778,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
ARKH 4B,local_merged_sigla_younger_internal,http://sigla.phis.me/document/ARKH%204b/index-word.html,ARKH,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,13,6,13,13,AB02 AB08 AB10 AB17? AB27 AB28 AB41 AB45 AB47 AB67 AB73 AB79 [?],Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0769,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
