bigram,count,relative_frequency
AB81 AB02,39,0.009755
KU RO,25,0.006253
SA RA2,19,0.004752
AB31 AB76,18,0.004502
[?] [?],16,0.004002
KU PA3,16,0.004002
AB08 AB51,15,0.003752
AB59 AB06,15,0.003752
QA [?],15,0.003752
TA NA,14,0.003502
GRA PA,14,0.003502
AB67 AB02,13,0.003252
A DU,13,0.003252
MI JA,13,0.003252
DA RE,12,0.003002
OLE U,12,0.003002
KI RO,11,0.002751
AB81 AB56,11,0.002751
OLE KI,11,0.002751
AB07 AB06,11,0.002751
AB01 AB27,10,0.002501
AB81 AB03,10,0.002501
AB27 AB17,10,0.002501
PA3 NU,9,0.002251
RU MA,9,0.002251
AB73 AB06,9,0.002251
AB26 AB80,9,0.002251
AB03 AB57,9,0.002251
PA TA,9,0.002251
JA RU,9,0.002251
AB08 AB60,8,0.002001
OLE MI,8,0.002001
DI NA,8,0.002001
AB81 AB30,8,0.002001
MA RU,8,0.002001
I [?],8,0.002001
[?] PU,8,0.002001
MI DA,8,0.002001
AB59 AB28,8,0.002001
AB28 AB76,8,0.002001
AB08 AB41,7,0.001751
NA TU,7,0.001751
AB56 AB55,7,0.001751
AB67 AB60,7,0.001751
KI RA,7,0.001751
KI RE,7,0.001751
AB31 AB26,7,0.001751
KU PA,7,0.001751
QA QA,7,0.001751
MI NA,7,0.001751
PA JA,7,0.001751
AB73 AB55,7,0.001751
A RI,7,0.001751
MA DI,7,0.001751
AB73 AB01,7,0.001751
RE ZA,7,0.001751
AB39 AB59,7,0.001751
PI TA,7,0.001751
[?] RE,7,0.001751
AB57 AB27,6,0.001501
A SI,6,0.001501
SI DA,6,0.001501
AB30 AB59,6,0.001501
A RA,6,0.001501
AB77 AB03,6,0.001501
KA PA,6,0.001501
MI NU,6,0.001501
AB67 AB27,6,0.001501
AB31 AB80,6,0.001501
A SE,6,0.001501
PA RA,6,0.001501
AB03 AB60,6,0.001501
AB08 AB09,6,0.001501
NU MA,6,0.001501
AB55 AB80,6,0.001501
JA RE,6,0.001501
AB08 AB53,6,0.001501
AB80 AB07,6,0.001501
AB07 AB60,6,0.001501
TA I,6,0.001501
AB80 AB27,6,0.001501
[?] AB08,6,0.001501
AB77 AB26,6,0.001501
AB31 AB60,6,0.001501
VIR KA,6,0.001501
OLE TA,6,0.001501
AB03 AB59,6,0.001501
AB01 AB77,6,0.001501
AB41 AB77,6,0.001501
KU RA2,6,0.001501
VIN TE,6,0.001501
AB08 AB59,6,0.001501
A MI,6,0.001501
AB17 AB09,6,0.001501
AB08 AB03,5,0.001251
AB41 AB01,5,0.001251
[?] AB57,5,0.001251
AB08 [?],5,0.001251
DA RO,5,0.001251
NI TA,5,0.001251
SA RU,5,0.001251
KU NI,5,0.001251
SA MA,5,0.001251
NA TI,5,0.001251
RI NA,5,0.001251
AB53 AB06,5,0.001251
AB56 AB30,5,0.001251
PA3 NI,5,0.001251
AB06 AB37,5,0.001251
AB81 AB73,5,0.001251
QA RU,5,0.001251
A306 AB69,5,0.001251
I TI,5,0.001251
MA KA,5,0.001251
TU NE,5,0.001251
AB06 AB41,5,0.001251
AB81 AB27,5,0.001251
AB01 AB28,5,0.001251
DA I,5,0.001251
AB41 AB118,5,0.001251
A310 AB28,5,0.001251
AB06 [?],5,0.001251
MA RE,5,0.001251
AB04 AB69,5,0.001251
AB16 AB118,5,0.001251
TE GRA,5,0.001251
AB77 AB81,5,0.001251
AB31 AB02,5,0.001251
SA RO,5,0.001251
AB03 AB09,5,0.001251
AB08 AB77,5,0.001251
JA KA,5,0.001251
AB80 AB59,5,0.001251
MA TA,5,0.001251
AB02 AB22,5,0.001251
AB22 AB67,5,0.001251
AB51 AB27,5,0.001251
ZA SE,5,0.001251
AB31 AB24,4,0.001001
AB21F AB118,4,0.001001
KU RA,4,0.001001
A DA,4,0.001001
DU NI,4,0.001001
AB08 AB01,4,0.001001
AB01 AB02,4,0.001001
AB51 AB30,4,0.001001
AB06 AB69,4,0.001001
AB28 AB09,4,0.001001
AB08 AB80,4,0.001001
AB78 AB76,4,0.001001
DA RI,4,0.001001
RI DA,4,0.001001
NI SU,4,0.001001
AB01 AB81,4,0.001001
DA KU,4,0.001001
AB03 AB01,4,0.001001
PA DA,4,0.001001
AB27 AB59,4,0.001001
RE TA,4,0.001001
AB01 AB53,4,0.001001
AB53 AB01,4,0.001001
AB30 AB58,4,0.001001
A RU,4,0.001001
AB73 [?],4,0.001001
AB67 AB53,4,0.001001
PA3 NA,4,0.001001
I GRA,4,0.001001
RA NE,4,0.001001
AB60 AB24,4,0.001001
AB09 AB57,4,0.001001
KI DA,4,0.001001
RI TE,4,0.001001
NA SI,4,0.001001
TA RA,4,0.001001
AB67 AB01,4,0.001001
AB28 AB37,4,0.001001
AB59 AB60,4,0.001001
AB60 AB27,4,0.001001
AB80 AB77,4,0.001001
AB53 AB04,4,0.001001
AB01 AB60,4,0.001001
AB07 AB67,4,0.001001
AB21F AB69,4,0.001001
AB69 AB24,4,0.001001
AB08 AB26,4,0.001001
OLE DI,4,0.001001
PA I,4,0.001001
DA SI,4,0.001001
JE DI,4,0.001001
