canonical_line_id,artifact_id,quantity,sequence_surface,canonical_sequence,sign_count,group_count,origin_count,source_kinds,provenance_tags,notes
CLINE_0001,ARKH 1,,A PA,A PA,2,2,1,external_csv,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,younger_table_statement | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_0002,ARKH 1,,A RA[,A RA[,2,2,1,external_csv,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,younger_table_statement | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_0003,ARKH 1,,PA RE,PA RE,2,2,1,external_csv,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,younger_table_statement | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_0004,ARKH 1,,]A SU MI,]A SU MI,3,3,1,external_csv,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,younger_table_statement | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_0005,ARKH 1,,]MI KI SA NE[,]MI KI SA NE[,4,4,1,external_csv,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,younger_table_statement | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_0006,ARKH 1,,]PA3[,]PA3[,1,1,1,external_csv,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,younger_table_logogram | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_0007,ARKH 1,,]TA PI,]TA PI,2,2,1,external_csv,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,younger_table_statement | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_0008,ARKH 1A,,AB08 AB03 [?],AB08 AB03 [?],3,3,1,external_csv,http://sigla.phis.me/document/ARKH%201a/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_0009,ARKH 1A,,AB08 AB58 AB73 AB118,AB08 AB58 AB73 AB118,4,4,1,external_csv,http://sigla.phis.me/document/ARKH%201a/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_0010,ARKH 1A,,AB08 AB60,AB08 AB60,2,2,1,external_csv,http://sigla.phis.me/document/ARKH%201a/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_0011,ARKH 1A,,AB59 AB39,AB59 AB39,2,2,1,external_csv,http://sigla.phis.me/document/ARKH%201a/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_0012,ARKH 1A,,AB67,AB67,1,1,1,external_csv,http://sigla.phis.me/document/ARKH%201a/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_0013,ARKH 1A,,AB73 AB67 AB31 AB24,AB73 AB67 AB31 AB24,4,4,1,external_csv,http://sigla.phis.me/document/ARKH%201a/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_0014,ARKH 1B,,AB06,AB06,1,1,1,external_csv,http://sigla.phis.me/document/ARKH%201b/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_0015,ARKH 1B,,AB08,AB08,1,1,1,external_csv,http://sigla.phis.me/document/ARKH%201b/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_0016,ARKH 1B,,AB56,AB56,1,1,1,external_csv,http://sigla.phis.me/document/ARKH%201b/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_0017,ARKH 1B,,AB57 AB27,AB57 AB27,2,2,1,external_csv,http://sigla.phis.me/document/ARKH%201b/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_0018,ARKH 2,,A SI DA TO I,A SI DA TO I,5,5,1,external_csv,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,younger_table_statement | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_0019,ARKH 2,,A SU PU WA,A SU PU WA,4,4,1,external_csv,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,younger_table_statement | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_0020,ARKH 2,,AB08 AB41 AB01 AB05 AB28,AB08 AB41 AB01 AB05 AB28,5,5,1,external_csv,http://sigla.phis.me/document/ARKH%202/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_0021,ARKH 2,,AB08 AB58 AB50 AB54,AB08 AB58 AB50 AB54,4,4,1,external_csv,http://sigla.phis.me/document/ARKH%202/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_0022,ARKH 2,,AB26 AB73,AB26 AB73,2,2,1,external_csv,http://sigla.phis.me/document/ARKH%202/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_0023,ARKH 2,,AB41 AB01 AB04,AB41 AB01 AB04,3,3,1,external_csv,http://sigla.phis.me/document/ARKH%202/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_0024,ARKH 2,,AB79 A301 AB09 AB45 AB21F AB118,AB79 A301 AB09 AB45 AB21F AB118,6,6,1,external_csv,http://sigla.phis.me/document/ARKH%202/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_0025,ARKH 2,,AB81 AB60 AB131B,AB81 AB60 AB131B,3,3,1,external_csv,http://sigla.phis.me/document/ARKH%202/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_0026,ARKH 2,,KU RA,KU RA,2,2,1,external_csv,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,younger_table_statement | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_0027,ARKH 2,,RU MI,RU MI,2,2,1,external_csv,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,younger_table_statement | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_0028,ARKH 2,,SI DA TE,SI DA TE,3,3,1,external_csv,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,younger_table_statement | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_0029,ARKH 2,,VINB,VINB,1,1,1,external_csv,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,younger_table_logogram | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_0030,ARKH 2,,ZU SE DE QIF,ZU SE DE QIF,4,4,1,external_csv,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,younger_table_statement | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_0031,ARKH 3,,GRA,GRA,1,1,3,external_csv,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,younger_table_logogram | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_0032,ARKH 3,,GRA[,GRA[,1,1,1,external_csv,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,younger_table_logogram | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_0033,ARKH 3,,JA PI,JA PI,2,2,1,external_csv,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,younger_table_statement | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_0034,ARKH 3,,KA NE,KA NE,2,2,1,external_csv,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,younger_table_statement | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_0035,ARKH 3,,OLE,OLE,1,1,1,external_csv,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,younger_table_logogram | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_0036,ARKH 3,,OLIV,OLIV,1,1,1,external_csv,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,younger_table_logogram | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_0037,ARKH 3,,VINB,VINB,1,1,1,external_csv,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,younger_table_logogram | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_0038,ARKH 3,,]KI NU,]KI NU,2,2,1,external_csv,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,younger_table_statement | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_0039,ARKH 3,,]PI PU3,]PI PU3,2,2,1,external_csv,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,younger_table_statement | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_0040,ARKH 3,,]VINA,]VINA,1,1,1,external_csv,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html,younger_table_logogram | source=YoungerArchive | ingested=2026-02-24T02:56:37Z
CLINE_0041,ARKH 3A,,AB67 AB55,AB67 AB55,2,2,1,external_csv,http://sigla.phis.me/document/ARKH%203a/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
CLINE_0042,ARKH 3A,,AB77 AB24,AB77 AB24,2,2,1,external_csv,http://sigla.phis.me/document/ARKH%203a/index-word.html,sigla_word_seq_pattern | source=SigLA | ingested=2026-02-24T02:56:37Z
