canonical_line_id,observation_id
CLINE_0001,OBS_000207
CLINE_0002,OBS_000205
CLINE_0003,OBS_000209
CLINE_0004,OBS_000206
CLINE_0005,OBS_000208
CLINE_0006,OBS_000210
CLINE_0007,OBS_000204
CLINE_0008,OBS_000215
CLINE_0009,OBS_000214
CLINE_0010,OBS_000213
CLINE_0011,OBS_000211
CLINE_0012,OBS_000212
CLINE_0013,OBS_000216
CLINE_0014,OBS_000220
CLINE_0015,OBS_000217
CLINE_0016,OBS_000219
CLINE_0017,OBS_000218
CLINE_0018,OBS_000224
CLINE_0019,OBS_000226
CLINE_0020,OBS_000230
CLINE_0021,OBS_000232
CLINE_0022,OBS_000233
CLINE_0023,OBS_000228
CLINE_0024,OBS_000231
CLINE_0025,OBS_000229
CLINE_0026,OBS_000222
CLINE_0027,OBS_000227
CLINE_0028,OBS_000223
CLINE_0029,OBS_000221
CLINE_0030,OBS_000225
CLINE_0031,OBS_000238
CLINE_0031,OBS_000240
CLINE_0031,OBS_000242
CLINE_0032,OBS_000234
CLINE_0033,OBS_000241
CLINE_0034,OBS_000235
CLINE_0035,OBS_000244
CLINE_0036,OBS_000236
CLINE_0037,OBS_000237
CLINE_0038,OBS_000239
CLINE_0039,OBS_000243
CLINE_0040,OBS_000245
CLINE_0041,OBS_000247
CLINE_0042,OBS_000246
CLINE_0043,OBS_000248
CLINE_0044,OBS_000250
CLINE_0045,OBS_000249
CLINE_0046,OBS_000253
CLINE_0047,OBS_000251
CLINE_0048,OBS_000254
CLINE_0049,OBS_000252
CLINE_0050,OBS_000257
CLINE_0051,OBS_000259
CLINE_0052,OBS_000258
CLINE_0053,OBS_000256
CLINE_0054,OBS_000255
CLINE_0055,OBS_000264
CLINE_0056,OBS_000261
CLINE_0057,OBS_000265
CLINE_0058,OBS_000263
CLINE_0059,OBS_000262
CLINE_0060,OBS_000260
CLINE_0061,OBS_000268
CLINE_0062,OBS_000266
CLINE_0063,OBS_000272
CLINE_0064,OBS_000271
CLINE_0065,OBS_000270
CLINE_0066,OBS_000267
CLINE_0067,OBS_000269
CLINE_0068,OBS_000274
CLINE_0069,OBS_000275
CLINE_0070,OBS_000273
CLINE_0071,OBS_000276
CLINE_0072,OBS_000278
CLINE_0073,OBS_000277
CLINE_0074,OBS_000279
CLINE_0075,OBS_000280
CLINE_0076,OBS_000281
CLINE_0077,OBS_000282
CLINE_0078,OBS_000287
CLINE_0079,OBS_000291
CLINE_0080,OBS_000293
CLINE_0081,OBS_000289
CLINE_0082,OBS_000288
CLINE_0083,OBS_000290
CLINE_0084,OBS_000292
CLINE_0085,OBS_000284
CLINE_0086,OBS_000286
CLINE_0087,OBS_000283
CLINE_0088,OBS_000285
CLINE_0089,OBS_000296
CLINE_0089,OBS_000302
CLINE_0090,OBS_000299
CLINE_0091,OBS_000304
CLINE_0092,OBS_000294
CLINE_0093,OBS_000300
CLINE_0094,OBS_000295
CLINE_0095,OBS_000305
CLINE_0096,OBS_000301
CLINE_0097,OBS_000303
CLINE_0098,OBS_000297
CLINE_0098,OBS_000298
CLINE_0099,OBS_000317
CLINE_0100,OBS_000316
CLINE_0101,OBS_000310
CLINE_0102,OBS_000309
CLINE_0103,OBS_000313
CLINE_0104,OBS_000314
CLINE_0105,OBS_000315
CLINE_0106,OBS_000312
CLINE_0107,OBS_000308
CLINE_0108,OBS_000311
CLINE_0109,OBS_000307
CLINE_0110,OBS_000306
CLINE_0111,OBS_000333
CLINE_0112,OBS_000335
CLINE_0113,OBS_000332
CLINE_0114,OBS_000334
CLINE_0115,OBS_000323
CLINE_0116,OBS_000324
CLINE_0117,OBS_000318
CLINE_0118,OBS_000328
CLINE_0119,OBS_000325
CLINE_0120,OBS_000320
CLINE_0120,OBS_000329
CLINE_0121,OBS_000321
CLINE_0122,OBS_000322
CLINE_0122,OBS_000327
CLINE_0123,OBS_000330
CLINE_0124,OBS_000331
CLINE_0125,OBS_000326
CLINE_0126,OBS_000319
CLINE_0127,OBS_000349
CLINE_0128,OBS_000351
CLINE_0129,OBS_000347
CLINE_0130,OBS_000348
CLINE_0131,OBS_000346
CLINE_0132,OBS_000350
CLINE_0133,OBS_000352
CLINE_0134,OBS_000343
CLINE_0135,OBS_000336
CLINE_0136,OBS_000339
CLINE_0137,OBS_000344
CLINE_0138,OBS_000338
CLINE_0139,OBS_000345
CLINE_0140,OBS_000341
CLINE_0141,OBS_000340
CLINE_0142,OBS_000337
CLINE_0143,OBS_000342
CLINE_0144,OBS_000362
CLINE_0145,OBS_000363
CLINE_0146,OBS_000360
CLINE_0147,OBS_000361
CLINE_0148,OBS_000364
CLINE_0149,OBS_000358
CLINE_0150,OBS_000357
CLINE_0151,OBS_000356
CLINE_0152,OBS_000353
CLINE_0153,OBS_000359
CLINE_0154,OBS_000355
CLINE_0155,OBS_000354
CLINE_0156,OBS_000372
CLINE_0157,OBS_000374
CLINE_0158,OBS_000373
CLINE_0159,OBS_000371
CLINE_0160,OBS_000375
CLINE_0161,OBS_000365
CLINE_0162,OBS_000368
CLINE_0163,OBS_000370
CLINE_0164,OBS_000369
CLINE_0165,OBS_000367
CLINE_0166,OBS_000366
CLINE_0167,OBS_000376
CLINE_0168,OBS_000379
CLINE_0169,OBS_000378
CLINE_0170,OBS_000377
CLINE_0171,OBS_000380
CLINE_0172,OBS_000387
CLINE_0173,OBS_000388
CLINE_0174,OBS_000386
CLINE_0175,OBS_000384
CLINE_0176,OBS_000385
CLINE_0177,OBS_000381
CLINE_0178,OBS_000383
CLINE_0179,OBS_000382
CLINE_0180,OBS_000389
CLINE_0181,OBS_000391
CLINE_0182,OBS_000395
CLINE_0183,OBS_000392
CLINE_0184,OBS_000393
CLINE_0185,OBS_000394
CLINE_0186,OBS_000390
CLINE_0187,OBS_000401
CLINE_0188,OBS_000398
CLINE_0189,OBS_000402
CLINE_0190,OBS_000399
CLINE_0190,OBS_000400
CLINE_0191,OBS_000403
CLINE_0192,OBS_000397
CLINE_0193,OBS_000396
CLINE_0194,OBS_000407
CLINE_0195,OBS_000405
CLINE_0196,OBS_000404
CLINE_0197,OBS_000409
CLINE_0198,OBS_000406
CLINE_0199,OBS_000408
CLINE_0200,OBS_000410
CLINE_0201,OBS_000412
CLINE_0202,OBS_000416
CLINE_0203,OBS_000411
CLINE_0204,OBS_000413
CLINE_0204,OBS_000420
CLINE_0205,OBS_000417
CLINE_0206,OBS_000418
CLINE_0207,OBS_000419
CLINE_0208,OBS_000415
CLINE_0209,OBS_000414
CLINE_0210,OBS_000425
CLINE_0211,OBS_000426
CLINE_0212,OBS_000422
CLINE_0213,OBS_000423
CLINE_0214,OBS_000421
CLINE_0215,OBS_000424
CLINE_0216,OBS_000427
CLINE_0217,OBS_000429
CLINE_0218,OBS_000428
CLINE_0219,OBS_000430
CLINE_0220,OBS_000433
CLINE_0221,OBS_000431
CLINE_0222,OBS_000434
CLINE_0223,OBS_000435
CLINE_0224,OBS_000432
CLINE_0225,OBS_000436
CLINE_0226,OBS_000437
CLINE_0227,OBS_000438
CLINE_0228,OBS_000442
CLINE_0229,OBS_000441
CLINE_0230,OBS_000439
CLINE_0231,OBS_000440
CLINE_0232,OBS_000443
CLINE_0233,OBS_000448
CLINE_0234,OBS_000449
CLINE_0235,OBS_000444
CLINE_0236,OBS_000446
CLINE_0237,OBS_000447
CLINE_0238,OBS_000445
CLINE_0239,OBS_000451
CLINE_0240,OBS_000450
CLINE_0241,OBS_000453
CLINE_0242,OBS_000452
CLINE_0243,OBS_000459
CLINE_0244,OBS_000464
CLINE_0245,OBS_000463
CLINE_0246,OBS_000455
CLINE_0247,OBS_000461
CLINE_0248,OBS_000466
CLINE_0249,OBS_000468
CLINE_0250,OBS_000457
CLINE_0251,OBS_000456
CLINE_0252,OBS_000460
CLINE_0253,OBS_000454
CLINE_0254,OBS_000458
CLINE_0255,OBS_000465
CLINE_0256,OBS_000467
CLINE_0257,OBS_000462
CLINE_0258,OBS_000473
CLINE_0259,OBS_000471
CLINE_0260,OBS_000474
CLINE_0261,OBS_000472
CLINE_0262,OBS_000469
CLINE_0263,OBS_000470
CLINE_0264,OBS_000475
CLINE_0265,OBS_000482
CLINE_0266,OBS_000477
CLINE_0267,OBS_000483
CLINE_0268,OBS_000476
CLINE_0269,OBS_000478
CLINE_0270,OBS_000480
CLINE_0271,OBS_000479
CLINE_0272,OBS_000481
CLINE_0273,OBS_000484
CLINE_0274,OBS_000485
CLINE_0275,OBS_000492
CLINE_0276,OBS_000489
CLINE_0277,OBS_000487
CLINE_0278,OBS_000491
CLINE_0279,OBS_000490
CLINE_0280,OBS_000488
CLINE_0281,OBS_000486
CLINE_0282,OBS_000493
CLINE_0283,OBS_000498
CLINE_0284,OBS_000496
CLINE_0285,OBS_000497
CLINE_0286,OBS_000495
CLINE_0287,OBS_000494
CLINE_0288,OBS_000499
CLINE_0289,OBS_000516
CLINE_0290,OBS_000515
CLINE_0291,OBS_000520
CLINE_0292,OBS_000517
CLINE_0293,OBS_000512
CLINE_0294,OBS_000513
CLINE_0295,OBS_000505
CLINE_0296,OBS_000501
CLINE_0297,OBS_000518
CLINE_0298,OBS_000511
