sign,count,relative_frequency
AB08,118,0.045507
AB81,97,0.037408
A,79,0.030467
KU,70,0.026996
[?],65,0.025067
OLE,64,0.024682
GRA,51,0.019668
SA,51,0.019668
AB31,49,0.018897
AB01,48,0.018511
AB77,47,0.018126
AB28,46,0.017740
DA,46,0.017740
AB67,43,0.016583
AB03,43,0.016583
AB41,38,0.014655
FIC,37,0.014269
KI,36,0.013884
PA,35,0.013498
I,35,0.013498
QA,35,0.013498
AB59,33,0.012727
KA,33,0.012727
MA,31,0.011955
AB57,30,0.011570
SI,29,0.011184
AB07,29,0.011184
AB80,29,0.011184
AB10,27,0.010413
VINA,27,0.010413
AB51,26,0.010027
TE,25,0.009641
VIR,24,0.009256
MI,24,0.009256
AB73,22,0.008484
AB78,22,0.008484
AB16,21,0.008099
AB04,21,0.008099
AB26,19,0.007327
AB69,19,0.007327
JA,18,0.006942
AB39,18,0.006942
B,18,0.006942
DI,18,0.006942
QE,17,0.006556
TA,17,0.006556
AB60,17,0.006556
U,16,0.006170
DU,16,0.006170
AB27,14,0.005399
TU,14,0.005399
]OLE,14,0.005399
PI,13,0.005013
*411VASB,13,0.005013
AB06,12,0.004628
AB79,12,0.004628
OLIV,12,0.004628
AB02,12,0.004628
AB54,12,0.004628
]KU,12,0.004628
TI,11,0.004242
PA3,11,0.004242
AB58,11,0.004242
AB56,10,0.003857
RU,10,0.003857
AB53,10,0.003857
AB37,10,0.003857
]FIC,9,0.003471
AB40,9,0.003471
RA,9,0.003471
AB50,9,0.003471
AB21F,9,0.003471
A306,8,0.003085
DESUNT,8,0.003085
E,8,0.003085
ZU,7,0.002700
AB45,7,0.002700
RI,7,0.002700
PU,7,0.002700
AB46,7,0.002700
RE,7,0.002700
WI,7,0.002700
VIN,7,0.002700
]VIR,6,0.002314
AB09,6,0.002314
AB55,6,0.002314
AB86,6,0.002314
AB24,6,0.002314
AB61,6,0.002314
RO,6,0.002314
*401VAS,6,0.002314
*164D,6,0.002314
]MI,5,0.001928
VINB,5,0.001928
BOSM,5,0.001928
QIF,5,0.001928
AB70,5,0.001928
AB100,5,0.001928
WA,5,0.001928
CAPM,5,0.001928
SU,5,0.001928
OVIS,5,0.001928
O,5,0.001928
AB38,5,0.001928
A309B,5,0.001928
]A,4,0.001543
]TA,4,0.001543
SE,4,0.001543
ME,4,0.001543
AB13,4,0.001543
NA,4,0.001543
]RU,4,0.001543
SUS,4,0.001543
JE,4,0.001543
]RA,4,0.001543
AB188,4,0.001543
]SA,4,0.001543
]OLIV,4,0.001543
OVISF,4,0.001543
AB23,4,0.001543
AB30,4,0.001543
]I,4,0.001543
]DI,4,0.001543
AB28B,4,0.001543
CF,4,0.001543
OVISM,4,0.001543
*309A,4,0.001543
]KI,3,0.001157
A312,3,0.001157
DE,3,0.001157
TA2,3,0.001157
]TU,3,0.001157
NU,3,0.001157
KO,3,0.001157
PO,3,0.001157
A324,3,0.001157
AB11,3,0.001157
]DU,3,0.001157
*402VAS,3,0.001157
TELA,3,0.001157
FIC[,3,0.001157
]U,3,0.001157
AB65,3,0.001157
VIR[,3,0.001157
]MA,3,0.001157
]PA,3,0.001157
*409VAS,3,0.001157
*164A,3,0.001157
*404VAS,3,0.001157
]JA,3,0.001157
A309A?,3,0.001157
IB,3,0.001157
]PI,2,0.000771
]VINA,2,0.000771
AB17?,2,0.000771
A305,2,0.000771
]QE,2,0.000771
OVISF[,2,0.000771
]WI,2,0.000771
AB47,2,0.000771
]SI,2,0.000771
A629,2,0.000771
AB76,2,0.000771
]OVISF,2,0.000771
AB66,2,0.000771
]KA,2,0.000771
]GRA[,2,0.000771
NI,2,0.000771
*406VAS,2,0.000771
]RE,2,0.000771
AB57?,2,0.000771
]RI,2,0.000771
AB51?,2,0.000771
AB28?,2,0.000771
CA,2,0.000771
JU,2,0.000771
A301,2,0.000771
A333,2,0.000771
]DA,2,0.000771
]FIC[,2,0.000771
]GRA,2,0.000771
VAS,2,0.000771
*417VAS,2,0.000771
A411B,2,0.000771
*408VAS,2,0.000771
IMPRESSION,2,0.000771
AB34,2,0.000771
*412VAS,2,0.000771
TO,2,0.000771
]TE,2,0.000771
A320,2,0.000771
*309B,2,0.000771
*309C,2,0.000771
A309A,2,0.000771
A309C,2,0.000771
AB17,2,0.000771
]PA3[,1,0.000386
GRA[,1,0.000386
ZA,1,0.000386
]DE,1,0.000386
NEW,1,0.000386
*400VAS,1,0.000386
A327,1,0.000386
A322,1,0.000386
A308,1,0.000386
TWE,1,0.000386
A579,1,0.000386
NE,1,0.000386
OLE[,1,0.000386
406VAS,1,0.000386
A340,1,0.000386
MU,1,0.000386
*410VAS,1,0.000386
*415VAS,1,0.000386
*416VAS,1,0.000386
]VEST,1,0.000386
SI[,1,0.000386
*403VAS,1,0.000386
*407VAS,1,0.000386
GRA[],1,0.000386
VINA[,1,0.000386
]MU,1,0.000386
A307,1,0.000386
]VIR[,1,0.000386
A717,1,0.000386
]QA,1,0.000386
]JU,1,0.000386
]NU,1,0.000386
[[A,1,0.000386
[[DI,1,0.000386
[[KU,1,0.000386
[[SA,1,0.000386
3RD,1,0.000386
AB131A,1,0.000386
ASARA2,1,0.000386
MAIMI,1,0.000386
TARA,1,0.000386
KE,1,0.000386
[NAME,1,0.000386
A318,1,0.000386
AB44,1,0.000386
NO,1,0.000386
SUP,1,0.000386
A352,1,0.000386
VIN[,1,0.000386
A651,1,0.000386
A303,1,0.000386
VINC,1,0.000386
]SE,1,0.000386
AB55?,1,0.000386
A335,1,0.000386
AB20,1,0.000386
AB85,1,0.000386
AU,1,0.000386
BOS,1,0.000386
]*131C,1,0.000386
]*401VAS,1,0.000386
R,1,0.000386
[[FIC,1,0.000386
VINC[,1,0.000386
AB08?,1,0.000386
]NA,1,0.000386
A501,1,0.000386
A640,1,0.000386
*411VASA,1,0.000386
*164B,1,0.000386
*164C,1,0.000386
]SU,1,0.000386
NOT,1,0.000386
]JA[,1,0.000386
X,1,0.000386
*405VAS,1,0.000386
*413VAS,1,0.000386
AB43,1,0.000386
A355,1,0.000386
A328,1,0.000386
A356,1,0.000386
A359,1,0.000386
A360,1,0.000386
[[GRAFFITO]],1,0.000386
CAPF,1,0.000386
AB05,1,0.000386
*418VAS,1,0.000386
]*417VAS,1,0.000386
A317,1,0.000386
A314,1,0.000386
??,1,0.000386
]OVIS,1,0.000386
]TELA,1,0.000386
*309B[,1,0.000386
]*309B,1,0.000386
]KO,1,0.000386
]OLIV[,1,0.000386
RA2,1,0.000386
]E,1,0.000386
SO,1,0.000386
A364,1,0.000386
AB118,1,0.000386
]OVISF[,1,0.000386
OLIV[,1,0.000386
]PU2,1,0.000386
AB29,1,0.000386
