observation_id,artifact_id,line_id,token_index,original_sign,reason,details
OBS_000045,HT7,1,2,RA,suppressed_uncertain_mapping,strict_mode
OBS_000046,HT7,2,1,RA,suppressed_uncertain_mapping,strict_mode
OBS_000050,HT7,40,2,RA,suppressed_uncertain_mapping,strict_mode
OBS_000051,HT7,41,1,RA,suppressed_uncertain_mapping,strict_mode
OBS_000057,HT8,3,1,?,suppressed_uncertain_mapping,strict_mode
OBS_000059,HT8,5,1,RA,suppressed_uncertain_mapping,strict_mode
OBS_000062,HT8,42,1,?,suppressed_uncertain_mapping,strict_mode
OBS_000064,HT8,44,1,RA,suppressed_uncertain_mapping,strict_mode
OBS_000119,HT7,1,2,RA,suppressed_uncertain_mapping,strict_mode
OBS_000120,HT7,2,1,RA,suppressed_uncertain_mapping,strict_mode
OBS_000124,HT7,10,2,RA,suppressed_uncertain_mapping,strict_mode
OBS_000125,HT7,11,1,RA,suppressed_uncertain_mapping,strict_mode
OBS_000131,HT8,3,1,?,suppressed_uncertain_mapping,strict_mode
OBS_000133,HT8,5,1,RA,suppressed_uncertain_mapping,strict_mode
OBS_000136,HT8,12,1,?,suppressed_uncertain_mapping,strict_mode
OBS_000138,HT8,14,1,RA,suppressed_uncertain_mapping,strict_mode
OBS_000177,HT7,70,2,RA,suppressed_uncertain_mapping,strict_mode
OBS_000178,HT7,71,1,RA,suppressed_uncertain_mapping,strict_mode
OBS_000184,HT8,79,1,?,suppressed_uncertain_mapping,strict_mode
OBS_000186,HT8,81,1,RA,suppressed_uncertain_mapping,strict_mode
OBS_000222,ARKH 2,.1-2_stmt,1,RA,suppressed_uncertain_mapping,strict_mode
OBS_000287,HT 1,.4_stmt,1,RA,suppressed_uncertain_mapping,strict_mode
OBS_000359,HT 103,.5_stmt,1,RA,suppressed_uncertain_mapping,strict_mode
OBS_000391,HT 109,.4_stmt,1,RA,suppressed_uncertain_mapping,strict_mode
OBS_000410,HT 11,a.1-2_stmt,2,RA,suppressed_uncertain_mapping,strict_mode
OBS_000439,HT 113,.1_stmt,0,RA,suppressed_uncertain_mapping,strict_mode
OBS_000456,HT 115,a.1_stmt,1,RA,suppressed_uncertain_mapping,strict_mode
OBS_000460,HT 115,a.4_stmt,1,RA,suppressed_uncertain_mapping,strict_mode
OBS_000462,HT 115,b.1_stmt,2,RA,suppressed_uncertain_mapping,strict_mode
OBS_000501,HT 117,a.2-3_stmt,1,RA,suppressed_uncertain_mapping,strict_mode
OBS_000507,HT 117,a.4-5_stmt,3,RA,suppressed_uncertain_mapping,strict_mode
OBS_000513,HT 117,a.7_stmt,3,RA,suppressed_uncertain_mapping,strict_mode
OBS_000592,HT 120,.1_stmt,2,RA,suppressed_uncertain_mapping,strict_mode
OBS_000620,HT 122,a.5_stmt,1,RA,suppressed_uncertain_mapping,strict_mode
OBS_000632,HT 122,b.3_stmt,1,RA,suppressed_uncertain_mapping,strict_mode
OBS_000735,HT 128,a.1_stmt,1,RA,suppressed_uncertain_mapping,strict_mode
OBS_000882,HT 17,.1_stmt,0,RA,suppressed_uncertain_mapping,strict_mode
OBS_000897,HT 19,.1-2_stmt,0,RA,suppressed_uncertain_mapping,strict_mode
OBS_000941,HT 23,b.1_stmt,1,RA,suppressed_uncertain_mapping,strict_mode
OBS_000974,HT 25,a.5_stmt,2,RA,suppressed_uncertain_mapping,strict_mode
OBS_001012,HT 27,a.3_stmt,3,RA,suppressed_uncertain_mapping,strict_mode
OBS_001014,HT 27,a.5_stmt,1,RA,suppressed_uncertain_mapping,strict_mode
OBS_001046,HT 28,a.5_stmt,3,RA,suppressed_uncertain_mapping,strict_mode
OBS_001107,HT 30,.3_stmt,1,RA,suppressed_uncertain_mapping,strict_mode
OBS_001107,HT 30,.3_stmt,2,RA,suppressed_uncertain_mapping,strict_mode
OBS_001123,HT 31,.5_log,3,RA,suppressed_uncertain_mapping,strict_mode
OBS_001249,HT 44,a.3_log,1,RA,suppressed_uncertain_mapping,strict_mode
OBS_001282,HT 49,a.5_stmt,1,RA,suppressed_uncertain_mapping,strict_mode
OBS_001358,HT 58,.1_stmt,2,RA,suppressed_uncertain_mapping,strict_mode
OBS_001367,HT 6,a.1-2_stmt,2,RA,suppressed_uncertain_mapping,strict_mode
OBS_001374,HT 6,a.6_stmt,2,RA,suppressed_uncertain_mapping,strict_mode
OBS_001378,HT 6,b.2_stmt,0,RA,suppressed_uncertain_mapping,strict_mode
OBS_001392,HT 62 73,.1_stmt,1,RA,suppressed_uncertain_mapping,strict_mode
OBS_001482,HT 8,a.1-2_stmt,2,RA,suppressed_uncertain_mapping,strict_mode
OBS_001486,HT 8,a.4_stmt,2,RA,suppressed_uncertain_mapping,strict_mode
OBS_001517,HT 85,b.1_stmt,2,RA,suppressed_uncertain_mapping,strict_mode
OBS_001576,HT 87,.5_stmt,1,RA,suppressed_uncertain_mapping,strict_mode
OBS_001614,HT 89,.3_stmt,1,RA,suppressed_uncertain_mapping,strict_mode
OBS_001647,HT 9,a.4_stmt,1,RA,suppressed_uncertain_mapping,strict_mode
OBS_001654,HT 9,b.3_stmt,1,RA,suppressed_uncertain_mapping,strict_mode
OBS_001736,HT 94,b.4_stmt,0,RA,suppressed_uncertain_mapping,strict_mode
OBS_001778,HT 96,a.1-2_stmt,7,RA,suppressed_uncertain_mapping,strict_mode
OBS_001782,HT 96,a.4_stmt,2,RA,suppressed_uncertain_mapping,strict_mode
