prefix,length,count,artifact_count,artifacts
AB08,1,118,93,"ARKH 1A,ARKH 1B,ARKH 2,ARKH 4A,ARKH 4B,ARKH 5,GO WC 1A,HS ZG 1,HT 1,HT 109,HT 115A,HT 115B,HT 118,HT 11A,HT 122B,HT 126A,HT 132,HT 133,HT 14,HT 2,HT 25A,HT 28A,HT 28B,HT 29,HT 37,HT 49A,HT 57A,HT 81,HT 85A,HT 86A,HT 86B,HT 87,HT 88,HT 89,HT 92,HT 93A,HT 95B,HT 96A,HT 96B,HT 97A,HT 99A,HT 9A,HT 9B,HT ZB 159,HT ZD 155,KH 10,KH 11,KH 13,KH 14,KH 17,KH 20,KH 23,KH 39,KH 4,KH 45,KH 5,KH 53,KH 58,KH 73,KH 79 89,KH 83,KH 9,KH 92,KH 97A,KH 99,KN 32A,KN ZB 40,KN ZB 5,KN ZC 6,KN ZC 7,KN ZE 16,KN ZF 13,MA 1B,MA 4B,MA WC 5A,PA 1,PH 14B,PH 2,PH 27,PH 28A,PH 31B,PH 6,SY ZA 4,TY 3A,ZA 10A,ZA 10B,ZA 21A,ZA 4A,ZA 7A,ZA 7B,ZA 8,ZA 9,ZA WC 2"
AB81,1,97,78,"ARKH 2,ARKH 3A,ARKH 6,HT 1,HT 100,HT 101,HT 102,HT 104,HT 109,HT 10A,HT 110A,HT 115B,HT 116A,HT 116B,HT 117A,HT 117B,HT 118,HT 119,HT 11A,HT 11B,HT 122A,HT 122B,HT 123A,HT 123B,HT 127B,HT 13,HT 20,HT 24A,HT 25B,HT 27A,HT 3,HT 39,HT 40,HT 42 59,HT 45B,HT 46A,HT 47A,HT 49A,HT 49B,HT 51B,HT 53B,HT 54A,HT 62 73,HT 64,HT 74,HT 79 83,HT 85A,HT 86A,HT 86B,HT 87,HT 88,HT 89,HT 94A,HT 94B,HT 95A,HT 95B,HT 96A,HT 9B,HT WA 1020,HT WC 3014A,HT13,HT31,HT95,KH 29,KH 49,KH 5,KH 7A,KH 92,KH 99,PH 31A,ZA 11A,ZA 11B,ZA 14,ZA 15B,ZA 18A,ZA 20,ZA 8,ZA10"
A,1,79,59,"ARKH 1,ARKH 2,ARKH 4,ARKH 5,HT 1,HT 109,HT 11,HT 115,HT 118,HT 132,HT 133,HT 14,HT 141,HT 2,HT 25,HT 28,HT 29,HT 49,HT 81,HT 85,HT 86,HT 87,HT 88,HT 89,HT 9,HT 92,HT 93,HT 95,HT 96,HT 99,HT WC 3019,KH 10,KH 11,KH 14,KH 20,KH 23,KH 39,KH 4,KH 5,KH 83,KH 9,KH 92,KN 32,KN WC 42,MA 1,PA 1,PE 2,PH 14,PH 2,PH 28,PH 31,PH 6,PK 1,TY 3,ZA 10,ZA 4,ZA 7,ZA 8,ZA 9"
KU,1,70,49,"ARKH 2,HT 1,HT 10,HT 100,HT 101,HT 102,HT 104,HT 109,HT 11,HT 110,HT 115,HT 116,HT 117,HT 118,HT 119,HT 122,HT 123 124,HT 127,HT 13,HT 20,HT 24,HT 25,HT 27,HT 39,HT 40,HT 47,HT 49,HT 85,HT 86,HT 87,HT 88,HT 89,HT 9,HT 94,HT 95,HT10,HT12,HT8,KH 29,KH 5,KH 7,KH 92,PE 1,PH 31,ZA 11,ZA 14,ZA 15,ZA 20,ZA 8"
[?],1,65,57,"ARKH 3B,ARKH 4A,ARKH 4B,ARKH 6,HT 108,HT 135B,HT 136A,HT 139,HT 140,HT 141,HT 154E,HT 27B,HT 31,HT 37,HT 4,HT 49A,HT 5,HT 51A,HT 54A,HT 62 73,HT 72,HT 93A,HT 98A,HT ZB 158A,KH 13,KH 22,KH 24,KH 29,KH 33,KH 49,KH 50,KH 68,KH 70,KH 73,KH 74,KH 79,KH 79 89,KH 8,KH 90,KN 28B,KN 32B,KN ZB 4,MA 2B,PH 15B,PH 16A,PH 16B,PH 18A,PH 1B,PH 26,PH 30,PH 31A,PH 3A,PH WC 45,ZA 13,ZA 16,ZA 21A,ZA 9"
OLE,1,64,33,"ARKH 3,HT 100,HT 101,HT 114,HT 12,HT 121,HT 125,HT 129,HT 137,HT 139,HT 140,HT 18,HT 2,HT 21,HT 23,HT 28,HT 30,HT 32,HT 35,HT 44,HT 50,HT 58,HT 60,HT 8,HT 90,HT 91,HT 96,KH 19,KH 55,KH 61,KH 85,TY 3,ZA 18"
GRA,1,51,39,"ARKH 3,ARKH 5,HT 101,HT 102,HT 108,HT 114,HT 115,HT 120,HT 121,HT 125,HT 128,HT 129,HT 131,HT 14,HT 15,HT 18,HT 22,HT 28,HT 52,HT 61,HT 62 73,HT 82,HT 86,HT 90,HT 92,HT 93,HT 95,HT 96,HT 99,KH 1,KH 10,KH 61,KH 91,PE 1,ZA 1,ZA 11,ZA 18,ZA 28,ZA 6"
SA,1,51,45,"HT 10,HT 100,HT 101,HT 102,HT 105,HT 11,HT 111,HT 114,HT 117,HT 121,HT 123 124,HT 130,HT 16,HT 17,HT 18,HT 19,HT 20,HT 23,HT 28,HT 29,HT 30,HT 31,HT 32,HT 33,HT 34,HT 42 59,HT 52,HT 6,HT 62 73,HT 86,HT 88,HT 9,HT 90,HT 93,HT 94,HT 95,HT 97,HT 99,KN 32,MA 4,ZA 10,ZA 11,ZA 15,ZA 21,ZA 5"
AB31,1,49,48,"HT 100,HT 101,HT 102,HT 10A,HT 114A,HT 117A,HT 11B,HT 121,HT 123A,HT 130,HT 16,HT 17,HT 18,HT 19,HT 20,HT 23A,HT 27A,HT 28A,HT 28B,HT 29,HT 30,HT 31,HT 32,HT 33,HT 34,HT 39,HT 42 59,HT 52A,HT 53A,HT 56A,HT 62 73,HT 6B,HT 86A,HT 86B,HT 88,HT 90,HT 93A,HT 94A,HT 94B,HT 95A,HT 95B,HT 97B,HT 99A,HT 9A,ZA 10B,ZA 11B,ZA 21B,ZA 5A"
AB01,1,48,38,"ARKH 6,HT 103,HT 104,HT 10A,HT 10B,HT 117A,HT 12,HT 120,HT 122A,HT 122B,HT 123A,HT 126A,HT 13,HT 3,HT 34,HT 38,HT 57A,HT 6A,HT 79 83,HT 7A,HT 7B,HT 85A,HT 86A,HT 88,HT 93A,HT 95A,HT 95B,HT 98B,HT 99B,HT WA 1001,HT WA 1002,HT WA 1003,HT WA 1004,HT WA 1005,PH 7B,ZA 10A,ZA 18A,ZA 8"
