sign,count,relative_frequency
[?],174,0.026400
AB81,139,0.021089
AB08,134,0.020331
KU,109,0.016538
AB59,108,0.016386
A,100,0.015172
AB01,99,0.015020
DA,97,0.014717
AB67,95,0.014414
AB06,94,0.014262
AB28,92,0.013958
AB77,91,0.013807
KI,90,0.013655
TA,90,0.013655
RE,87,0.013200
AB02,87,0.013200
PA,86,0.013048
AB27,86,0.013048
AB60,85,0.012896
AB57,85,0.012896
AB03,84,0.012745
AB41,83,0.012593
AB80,83,0.012593
MA,80,0.012138
AB31,79,0.011986
I,79,0.011986
RU,79,0.011986
SA,78,0.011834
MI,77,0.011683
AB07,77,0.011683
SI,75,0.011379
TE,74,0.011227
RA,73,0.011076
KA,72,0.010924
NA,72,0.010924
JA,71,0.010772
RO,71,0.010772
AB37,70,0.010621
AB26,69,0.010469
AB73,68,0.010317
GRA,67,0.010165
AB51,67,0.010165
OLE,65,0.009862
AB53,64,0.009710
DI,64,0.009710
RI,64,0.009710
TI,60,0.009103
AB04,58,0.008800
AB69,57,0.008648
TU,53,0.008041
DU,52,0.007890
QA,49,0.007434
AB09,48,0.007283
AB30,47,0.007131
U,46,0.006979
AB24,43,0.006524
SE,43,0.006524
AB10,43,0.006524
AB76,43,0.006524
AB55,42,0.006372
FIC,41,0.006221
AB58,40,0.006069
RA2,38,0.005765
VINA,38,0.005765
AB39,37,0.005614
NE,37,0.005614
NI,37,0.005614
PA3,37,0.005614
AB56,36,0.005462
AB78,36,0.005462
NU,35,0.005310
QE,33,0.005007
AB45,31,0.004703
SU,29,0.004400
PI,29,0.004400
AB79,28,0.004248
AB65,28,0.004248
AB17,28,0.004248
JU,28,0.004248
VIR,27,0.004096
AB16,27,0.004096
ZA,26,0.003945
PU,25,0.003793
B,24,0.003641
ME,24,0.003641
E,23,0.003490
AB54,22,0.003338
AB40,22,0.003338
ZU,21,0.003186
HT,21,0.003186
AB50,20,0.003034
DE,19,0.002883
AB13,19,0.002883
AB118,18,0.002731
AB21F,18,0.002731
TO,15,0.002276
AB22,15,0.002276
AB38,15,0.002276
QIF,14,0.002124
]OLE,14,0.002124
WA,13,0.001972
OLIV,13,0.001972
WI,13,0.001972
*411VASB,13,0.001972
TA2,12,0.001821
A306,12,0.001821
]KU,12,0.001821
AB05,11,0.001669
AB66,11,0.001669
AB70,11,0.001669
A301,10,0.001517
KE,10,0.001517
AB61,10,0.001517
AB44,9,0.001365
]FIC,9,0.001365
AB46,9,0.001365
O,9,0.001365
KO,8,0.001214
AB23,8,0.001214
A310,8,0.001214
DESUNT,8,0.001214
VIN,8,0.001214
AB86,7,0.001062
F,7,0.001062
AB29,7,0.001062
AB123,7,0.001062
MI[,7,0.001062
CF,7,0.001062
NE[,6,0.000910
BOSM,6,0.000910
]VIR,6,0.000910
A305,6,0.000910
AB34,6,0.000910
PO,6,0.000910
AB11,6,0.000910
AB188,6,0.000910
OVISF,6,0.000910
PU2,6,0.000910
OVIS,6,0.000910
RE[,6,0.000910
*401VAS,6,0.000910
*164D,6,0.000910
]MI,5,0.000759
VINB,5,0.000759
A314,5,0.000759
AB47,5,0.000759
]RU,5,0.000759
MU,5,0.000759
AB100,5,0.000759
L2,5,0.000759
JE,5,0.000759
*164A,5,0.000759
CAPM,5,0.000759
]I,5,0.000759
]DI,5,0.000759
JA[,5,0.000759
AB28B,5,0.000759
AB65?,5,0.000759
A309B,5,0.000759
RA[,4,0.000607
]A,4,0.000607
]TA,4,0.000607
SI[,4,0.000607
A312,4,0.000607
SUS,4,0.000607
]RA,4,0.000607
]SA,4,0.000607
]OLIV,4,0.000607
KI[,4,0.000607
A320,4,0.000607
OVISM,4,0.000607
*309A,4,0.000607
AB53?,4,0.000607
IB,4,0.000607
]KI,3,0.000455
]TU,3,0.000455
AB49,3,0.000455
A324,3,0.000455
AB131A,3,0.000455
KU[,3,0.000455
]DU,3,0.000455
KA[,3,0.000455
*402VAS,3,0.000455
TELA,3,0.000455
FIC[,3,0.000455
QE[,3,0.000455
]U,3,0.000455
MA[,3,0.000455
NA[,3,0.000455
VIR[,3,0.000455
]MA,3,0.000455
A321,3,0.000455
UNIT,3,0.000455
EACH,3,0.000455
D,3,0.000455
I[,3,0.000455
AU,3,0.000455
]PA,3,0.000455
*409VAS,3,0.000455
*404VAS,3,0.000455
]JA,3,0.000455
122A,3,0.000455
IMMEDIATELY,3,0.000455
DA[,3,0.000455
A309A?,3,0.000455
]PI,2,0.000303
PU3,2,0.000303
]VINA,2,0.000303
AB17?,2,0.000303
*313A,2,0.000303
PA[,2,0.000303
A325,2,0.000303
]QE,2,0.000303
OVISF[,2,0.000303
DE[,2,0.000303
]WI,2,0.000303
TA[,2,0.000303
K,2,0.000303
]SI,2,0.000303
A308,2,0.000303
A629,2,0.000303
A329,2,0.000303
AB34?,2,0.000303
]OVISF,2,0.000303
]KA,2,0.000303
]GRA[,2,0.000303
AB164A,2,0.000303
RU[,2,0.000303
WI[,2,0.000303
*406VAS,2,0.000303
A323,2,0.000303
]RE,2,0.000303
SU[,2,0.000303
AB27?,2,0.000303
A331,2,0.000303
DU[,2,0.000303
AB57?,2,0.000303
NI[,2,0.000303
]RI,2,0.000303
AB51?,2,0.000303
AB28?,2,0.000303
PA3[,2,0.000303
RO[,2,0.000303
CA,2,0.000303
THE,2,0.000303
*313B,2,0.000303
J,2,0.000303
A333,2,0.000303
NO,2,0.000303
A319,2,0.000303
?,2,0.000303
A352,2,0.000303
]DA,2,0.000303
PI[,2,0.000303
]FIC[,2,0.000303
]GRA,2,0.000303
SA[,2,0.000303
E[,2,0.000303
VAS,2,0.000303
*417VAS,2,0.000303
A411B,2,0.000303
*408VAS,2,0.000303
IMPRESSION,2,0.000303
NOT,2,0.000303
PRESERVED,2,0.000303
*412VAS,2,0.000303
]TE,2,0.000303
AFTER,2,0.000303
*309B,2,0.000303
*309C,2,0.000303
A309A,2,0.000303
A309C,2,0.000303
SO,2,0.000303
]PA3[,1,0.000152
AB131B,1,0.000152
GRA[,1,0.000152
]DE,1,0.000152
NEW,1,0.000152
AB22F,1,0.000152
22F,1,0.000152
H,1,0.000152
*400VAS,1,0.000152
*22M,1,0.000152
A718,1,0.000152
A327,1,0.000152
A345,1,0.000152
A322,1,0.000152
TWE,1,0.000152
*313C,1,0.000152
A579,1,0.000152
RA2[,1,0.000152
L3L3,1,0.000152
OLE[,1,0.000152
NU[,1,0.000152
406VAS,1,0.000152
AB72,1,0.000152
A340,1,0.000152
AB07?,1,0.000152
*410VAS,1,0.000152
*415VAS,1,0.000152
*416VAS,1,0.000152
]VEST,1,0.000152
A516,1,0.000152
AB06?,1,0.000152
*403VAS,1,0.000152
*407VAS,1,0.000152
GRA[],1,0.000152
A342,1,0.000152
VINA[,1,0.000152
]MU,1,0.000152
AB67?,1,0.000152
A307,1,0.000152
DI[,1,0.000152
]VIR[,1,0.000152
PU2[,1,0.000152
A717,1,0.000152
]QA,1,0.000152
]JU,1,0.000152
]NU,1,0.000152
TU[,1,0.000152
[[A,1,0.000152
[[DI,1,0.000152
DE]],1,0.000152
[[KU,1,0.000152
[[SA,1,0.000152
3RD,1,0.000152
WINE,1,0.000152
ASARA2,1,0.000152
10TH,1,0.000152
20TH,1,0.000152
FIGS,1,0.000152
WHERE,1,0.000152
RATIO,1,0.000152
IS,1,0.000152
TIMES,1,0.000152
THIS,1,0.000152
AMOUNT,1,0.000152
IF,1,0.000152
ARE,1,0.000152
PEOPLE,1,0.000152
MIGHT,1,0.000152
THEY,1,0.000152
BE,1,0.000152
CHILDREN?,1,0.000152
MAIMI,1,0.000152
