suffix,length,count,artifact_count,artifacts
AB02,1,70,60,"ARKH 4B,ARKH 5,HT 1,HT 100,HT 102,HT 104,HT 108,HT 109,HT 110A,HT 110B,HT 116A,HT 116B,HT 117A,HT 118,HT 119,HT 11A,HT 11B,HT 122A,HT 122B,HT 123A,HT 123B,HT 127B,HT 13,HT 130,HT 131B,HT 15,HT 17,HT 19,HT 25B,HT 27A,HT 30,HT 34,HT 37,HT 39,HT 40,HT 42 59,HT 46A,HT 47A,HT 55A,HT 74,HT 85A,HT 88,HT 89,HT 93B,HT 94A,HT 94B,HT 96A,HT 9A,HT 9B,HT WC 3003,HT WC 3012B,KH 100,KH WA 1013,KH WA 1014,KH WA 1015,KH WA 1016,PH 31A,ZA 15B,ZA 1B,ZA 8"
[?],1,70,63,"ARKH 1A,ARKH 4A,HT 113 TER,HT 115B,HT 118,HT 11A,HT 126A,HT 128B,HT 136A,HT 154,HT 154E,HT 27B,HT 34,HT 37,HT 49A,HT 54A,HT 62 73,HT 72,HT 85B,HT 93A,HT 95A,HT 97A,HT 9B,KH 12,KH 16,KH 2,KH 29,KH 39,KH 40,KH 64,KH 68,KH 70,KH 73,KH 8,KH 90,KH 92,KH 99,KH WC 2066,KH WC 2070,KN 22A,KN 22C,KN 32A,KN WB 33B,KN ZC 7,PH 16A,PH 16B,PH 27,PH 28A,PH 31A,PH 31B,PH 3A,PH WC 45,TY 2,TY 3A,ZA 1,ZA 10,ZA 11,ZA 12,ZA 19,ZA 1B,ZA 20,ZA 21,ZA 9"
RO,1,57,46,"ARKH 4,ARKH 5,GO 2,HT 1,HT 100,HT 102,HT 104,HT 108,HT 109,HT 11,HT 110,HT 116,HT 117,HT 118,HT 119,HT 122,HT 123 124,HT 127,HT 13,HT 131,HT 15,HT 17,HT 19,HT 25,HT 27,HT 30,HT 34,HT 37,HT 39,HT 40,HT 42 59,HT 46,HT 47,HT 55,HT 67,HT 74,HT 88,HT 89,HT 9,HT 94,HT 96,HT WC 3012,KH 18,PH 31,ZA 15,ZA 8"
AB27,1,48,41,"ARKH 1B,ARKH 4B,HT 1,HT 109,HT 10A,HT 10B,HT 117A,HT 122A,HT 122B,HT 128A,HT 154JA,HT 17,HT 20,HT 29,HT 3,HT 32,HT 37,HT 4,HT 47B,HT 51A,HT 53B,HT 55A,HT 66,HT 7A,HT 85A,HT 88,HT 8B,HT 96B,HT ZB 160,KH 4,KH 41,KH 6,KH 97A,KN ZC 7,PH 15A,ZA 10B,ZA 15A,ZA 23,ZA 4A,ZA 5B,ZA 8"
RE,1,47,35,"ARKH 1,HT 1,HT 10,HT 117,HT 12,HT 122,HT 128,HT 17,HT 20,HT 23,HT 29,HT 3,HT 32,HT 33,HT 34,HT 37,HT 39,HT 55,HT 60,HT 7,HT 8,HT 85,HT 88,HT 96,KH 43,PE 2,PH 15,PH 31,PK 1,PK 3,ZA 10,ZA 15,ZA 4,ZA 5,ZA 8"
AB06,1,46,42,"ARKH 1B,ARKH 5,HT 102,HT 103,HT 108,HT 10B,HT 115A,HT 115B,HT 11A,HT 11B,HT 120,HT 123B,HT 129,HT 135A,HT 2,HT 23A,HT 26A,HT 28B,HT 3,HT 31,HT 62 73,HT 64,HT 6B,HT 88,HT 8A,HT 90,HT 93A,HT 98A,HT WA 1020,HT WC 3014A,KH 36,KH 5,KH 59,KH 79 89,KH 97A,KN 2,MA 2C,PH 1A,PH 1B,ZA 10A,ZA 15A,ZA 6A"
RU,1,46,38,"HT 10,HT 111,HT 115,HT 117,HT 118,HT 12,HT 122,HT 123 124,HT 2,HT 23,HT 24,HT 3,HT 32,HT 34,HT 35,HT 46,HT 49,HT 55,HT 6,HT 7,HT 81,HT 86,HT 9,HT 93,HT 94,HT 95,HT 97,HT12,KH 12,KH 36,KH 60,KH 63,KH 85,KH 91,PH 3,TY 2,ZA 11,ZA 4"
AB60,1,44,42,"ARKH 1A,HT 103,HT 117A,HT 120,HT 122A,HT 128A,HT 147,HT 23B,HT 25A,HT 27A,HT 28A,HT 30,HT 31,HT 49A,HT 53A,HT 57A,HT 62 73,HT 6A,HT 80,HT 89,HT 8A,HT 96A,HT 9A,HT 9B,HT WC 3006B,HT WC 3011,HT WC 3012A,KH 14,KH 20,KH 29,KH 47,KH 79 89,KN WC 30,KN ZC 7,MA 2A,PH 3A,PH 7A,PH 7B,ZA 20,ZA 22,ZA 8,ZA 9"
AB59,1,41,38,"ARKH 4A,HT 109,HT 10B,HT 115B,HT 117A,HT 123B,HT 128A,HT 13,HT 146,HT 25A,HT 27A,HT 29,HT 35,HT 40,HT 42 59,HT 49B,HT 51B,HT 66,HT 6A,HT 95A,HT 96A,HT 99B,HT13,HT31,KH 50,KH 79 89,KH 7A,KH 8,KH 90,KN 22A,PH 6,PH 7B,PH WA 32,ZA 10A,ZA 10B,ZA 24B,ZA 5B,ZA 8"
RA,1,39,36,"ARKH 2,HT 103,HT 11,HT 117,HT 120,HT 122,HT 128,HT 23,HT 25,HT 27,HT 28,HT 30,HT 31,HT 44,HT 49,HT 6,HT 62 73,HT 8,HT 89,HT 9,HT 96,HT WC 3006,HT7,HT8,KH 20,KH 31,KH 79 89,KH 91,MA 2,MI 2,PH 3,PH 7,ZA 15,ZA 20,ZA 6,ZA 8"
