sign,count,relative_frequency
[?],70,0.026996
AB02,70,0.026996
RO,57,0.021982
AB27,48,0.018511
RE,47,0.018126
AB06,46,0.017740
RU,46,0.017740
AB60,44,0.016969
AB59,41,0.015812
RA,39,0.015040
TE,39,0.015040
NA,38,0.014655
AB37,36,0.013884
FIC,35,0.013498
AB26,35,0.013498
AB57,35,0.013498
AB76,33,0.012727
AB77,33,0.012727
TA,33,0.012727
TI,32,0.012341
PA,31,0.011955
AB24,31,0.011955
AB04,31,0.011955
AB41,31,0.011955
AB67,30,0.011570
AB09,30,0.011570
KI,30,0.011570
GRA,29,0.011184
VINA,29,0.011184
DI,28,0.010798
MI,27,0.010413
RA2,27,0.010413
AB69,26,0.010027
AB80,26,0.010027
AB07,26,0.010027
AB03,26,0.010027
SE,26,0.010027
SI,26,0.010027
AB51,25,0.009641
NE,24,0.009256
TU,24,0.009256
JA,23,0.008870
AB73,22,0.008484
AB28,21,0.008099
U,21,0.008099
AB81,20,0.007713
I,19,0.007327
AB53,19,0.007327
AB30,19,0.007327
RI,19,0.007327
KA,18,0.006942
AB17,18,0.006942
AB65,17,0.006556
AB08,16,0.006170
AB55,16,0.006170
ZA,16,0.006170
MA,16,0.006170
AB01,16,0.006170
DU,16,0.006170
AB118,14,0.005399
AB10,14,0.005399
DA,14,0.005399
JU,14,0.005399
PU,14,0.005399
NU,13,0.005013
AB58,13,0.005013
SU,13,0.005013
NI,13,0.005013
VIR,13,0.005013
E,13,0.005013
*411VASB,13,0.005013
AB45,12,0.004628
ME,12,0.004628
A,11,0.004242
AB78,11,0.004242
AB39,10,0.003857
AB56,10,0.003857
OLIV,10,0.003857
PA3,10,0.003857
AB66,10,0.003857
TA2,10,0.003857
SA,10,0.003857
AB31,10,0.003857
AB40,10,0.003857
KU,10,0.003857
AB50,10,0.003857
AB79,9,0.003471
QE,9,0.003471
]FIC,9,0.003471
AB13,9,0.003471
DESUNT,8,0.003085
PI,7,0.002700
AB54,7,0.002700
F,7,0.002700
MI[,7,0.002700
AB38,7,0.002700
NE[,6,0.002314
WA,6,0.002314
OLE,6,0.002314
BOSM,6,0.002314
KE,6,0.002314
AB86,6,0.002314
DE,6,0.002314
OVISF,6,0.002314
RE[,6,0.002314
*164D,6,0.002314
QIF,5,0.001928
ZU,5,0.001928
AB44,5,0.001928
WI,5,0.001928
L2,5,0.001928
QA,5,0.001928
JA[,5,0.001928
AB123,5,0.001928
HT,5,0.001928
RA[,4,0.001543
VINB,4,0.001543
]VIR,4,0.001543
AB23,4,0.001543
AB05,4,0.001543
B,4,0.001543
]OLIV,4,0.001543
AB61,4,0.001543
A305,4,0.001543
CAPM,4,0.001543
AB21F,4,0.001543
OVIS,4,0.001543
KI[,4,0.001543
A301,4,0.001543
A306,4,0.001543
SI[,3,0.001157
MU,3,0.001157
AB49,3,0.001157
TO,3,0.001157
AB131A,3,0.001157
AB188,3,0.001157
KU[,3,0.001157
KA[,3,0.001157
AB70,3,0.001157
PU2,3,0.001157
AB29,3,0.001157
FIC[,3,0.001157
QE[,3,0.001157
MA[,3,0.001157
NA[,3,0.001157
VIR[,3,0.001157
A321,3,0.001157
D,3,0.001157
AB46,3,0.001157
I[,3,0.001157
*409VAS,3,0.001157
*164A,3,0.001157
O,3,0.001157
AB65?,3,0.001157
]VINA,2,0.000771
A314,2,0.000771
*313A,2,0.000771
PA[,2,0.000771
OVISF[,2,0.000771
DE[,2,0.000771
TA[,2,0.000771
A308,2,0.000771
A329,2,0.000771
]OVISF,2,0.000771
]GRA[,2,0.000771
VIN,2,0.000771
RU[,2,0.000771
KO,2,0.000771
WI[,2,0.000771
SU[,2,0.000771
AB27?,2,0.000771
A331,2,0.000771
DU[,2,0.000771
AB57?,2,0.000771
NI[,2,0.000771
AB28?,2,0.000771
PA3[,2,0.000771
RO[,2,0.000771
EACH,2,0.000771
*313B,2,0.000771
J,2,0.000771
A319,2,0.000771
]FIC[,2,0.000771
SA[,2,0.000771
E[,2,0.000771
*417VAS,2,0.000771
A411B,2,0.000771
*408VAS,2,0.000771
TELA,2,0.000771
PRESERVED,2,0.000771
OVISM,2,0.000771
DA[,2,0.000771
]PA3[,1,0.000386
AB131B,1,0.000386
GRA[,1,0.000386
PU3,1,0.000386
AB47,1,0.000386
NEW,1,0.000386
H,1,0.000386
*22M,1,0.000386
A718,1,0.000386
A345,1,0.000386
TWE,1,0.000386
*313C,1,0.000386
A579,1,0.000386
RA2[,1,0.000386
L3L3,1,0.000386
AB11,1,0.000386
PO,1,0.000386
OLE[,1,0.000386
AB16,1,0.000386
NU[,1,0.000386
A310,1,0.000386
AB72,1,0.000386
AB07?,1,0.000386
*410VAS,1,0.000386
]VEST,1,0.000386
A516,1,0.000386
AB06?,1,0.000386
*403VAS,1,0.000386
