trigram,count,relative_frequency
KU PA3 NU,8,0.004374
QA [?] PU,8,0.004374
MI JA RU,8,0.004374
AB81 AB56 AB55,7,0.003827
QA [?] RE,7,0.003827
QA QA RU,5,0.002734
AB81 AB02 AB22,5,0.002734
DA RI DA,4,0.002187
TA NA TI,4,0.002187
AB67 AB27 AB59,4,0.002187
AB27 AB59 AB06,4,0.002187
RE TA NA,4,0.002187
AB01 AB53 AB01,4,0.002187
AB81 AB30 AB58,4,0.002187
AB59 AB06 AB37,4,0.002187
PA RA NE,4,0.002187
AB03 AB60 AB24,4,0.002187
PA TA NE,4,0.002187
AB01 AB41 AB118,4,0.002187
AB16 A310 AB28,4,0.002187
AB07 AB06 AB10,4,0.002187
AB03 AB57 AB27,4,0.002187
PA JA RE,4,0.002187
AB81 AB73 AB06,4,0.002187
AB02 AB22 AB67,4,0.002187
AB51 AB27 AB17,4,0.002187
AB78 AB76 AB10,3,0.001640
KU NI SU,3,0.001640
AB01 AB81 AB09,3,0.001640
AB81 AB09 AB24,3,0.001640
DA KU SE,3,0.001640
MI NU TE,3,0.001640
KI RE TA,3,0.001640
QIF TU NE,3,0.001640
TU JU MA,3,0.001640
AB21F AB69 AB24,3,0.001640
AB16 AB16 AB26,3,0.001640
RI RU MA,3,0.001640
KU PA3 NA,3,0.001640
PA3 NA TU,3,0.001640
AB01 AB78 AB60,3,0.001640
I GRA PA,3,0.001640
A324 AB07 AB60,3,0.001640
AB77 AB81 AB03,3,0.001640
DI NA U,3,0.001640
AB08 AB77 AB26,3,0.001640
RI NI TA,3,0.001640
AB53 AB30 AB59,3,0.001640
AB26 AB80 AB59,3,0.001640
RU MA TA,3,0.001640
AB59 AB28 AB123,3,0.001640
AB07 AB45 AB26,3,0.001640
AB73 AB55 AB04,3,0.001640
AB03 AB09 AB57,3,0.001640
AB54 AB67 AB22,3,0.001640
AB67 AB22 AB03,3,0.001640
A MI DA,3,0.001640
MA KA I,3,0.001640
AB27 AB17 AB09,3,0.001640
IB NU MA,3,0.001640
NU MA RE,3,0.001640
SI PI KI,3,0.001640
AB28B AB55 AB80,3,0.001640
AB55 AB80 AB27,3,0.001640
AB08 AB03 [?],2,0.001093
AB67 AB31 AB24,2,0.001093
DA NA TU,2,0.001093
AB60 AB06 AB27,2,0.001093
QE RA2 U,2,0.001093
AB07 AB53 AB06,2,0.001093
DI RI NA,2,0.001093
KU SE NE,2,0.001093
AB08 AB60 AB65,2,0.001093
AB10 A325 AB17,2,0.001093
DU KU MI,2,0.001093
KI RI TA2,2,0.001093
AB67 AB53 AB66,2,0.001093
NE MI NA,2,0.001093
AB06 AB21F AB24,2,0.001093
AB24 AB73 AB06,2,0.001093
QA NU MA,2,0.001093
AB16 AB55 AB80,2,0.001093
DI KI SE,2,0.001093
KI DA RO,2,0.001093
MA KA RI,2,0.001093
KA RI TE,2,0.001093
U MI NA,2,0.001093
MI NA SI,2,0.001093
AB10 AB73 AB06,2,0.001093
AB73 AB06 AB41,2,0.001093
AB67 AB01 AB02,2,0.001093
AB80 AB77 AB53,2,0.001093
AB77 AB53 AB04,2,0.001093
AB07 AB67 AB09,2,0.001093
AB81 AB27 AB65,2,0.001093
AB53 AB26 AB80,2,0.001093
AB81 AB56 AB06,2,0.001093
AB56 AB06 AB69,2,0.001093
QE TU NE,2,0.001093
AB03 AB28 AB05,2,0.001093
DA QE RA,2,0.001093
GRA K L2,2,0.001093
PA I TO,2,0.001093
JA MI DA,2,0.001093
MI DA RE,2,0.001093
PO TO KU,2,0.001093
TO KU RO,2,0.001093
SI DA RE,2,0.001093
U DE ZA,2,0.001093
AB10 AB45 AB17,2,0.001093
AB41 AB01 AB27,2,0.001093
AB11 AB05 AB81,2,0.001093
AB05 AB81 AB02,2,0.001093
KI RE TA2,2,0.001093
AB81 AB79 AB30,2,0.001093
KU ZU NI,2,0.001093
AB28 AB16 AB118,2,0.001093
AB10 AB34 AB41,2,0.001093
AB60 AB164A AB37,2,0.001093
RA *164A TI,2,0.001093
A KA RU,2,0.001093
A RI NI,2,0.001093
AB08 AB53 AB30,2,0.001093
A SI JA,2,0.001093
SI JA KA,2,0.001093
AB08 AB41 AB57,2,0.001093
AB41 AB57 AB77,2,0.001093
MI JA KA,2,0.001093
[?] RE PU,2,0.001093
AB37 AB37 AB81,2,0.001093
TI TI KU,2,0.001093
MI JA I,2,0.001093
DU RI TE,2,0.001093
PA3 NI NA,2,0.001093
WA DU NI,2,0.001093
DU NI MI,2,0.001093
AB54 AB51 AB30,2,0.001093
AB51 AB30 AB73,2,0.001093
AB56 AB30 AB06,2,0.001093
SI KI RA,2,0.001093
DI DE RU,2,0.001093
AB41 AB67 AB60,2,0.001093
AB03 AB59 AB24,2,0.001093
A PA RA,2,0.001093
AB08 AB03 AB60,2,0.001093
AB54 AB07 AB30,2,0.001093
AB79 AB07 AB60,2,0.001093
B PA D,2,0.001093
AB03 AB59 AB01,2,0.001093
AB80 AB37 AB37,2,0.001093
AB37 AB37 A319,2,0.001093
A DU ZA,2,0.001093
AB08 AB51 [?],2,0.001093
AB10 AB59 AB28,2,0.001093
DU RE ZA,2,0.001093
[?] AB03 AB01,2,0.001093
AB78 AB45 AB73,2,0.001093
AB45 AB73 AB55,2,0.001093
IMMEDIATELY AFTER KU,2,0.001093
AFTER KU PA3,2,0.001093
SI AU RE,2,0.001093
PA TA DA,2,0.001093
DU PU2 RE,2,0.001093
PA TA DA[,2,0.001093
AB08 AB73 AB01,2,0.001093
KA I TA,2,0.001093
KU MI NA,2,0.001093
A TA NA,2,0.001093
TA NA TE,2,0.001093
DA I PI,2,0.001093
I PI TA,2,0.001093
RE ZA SE,2,0.001093
