cluster_id,sequence_id,sequence,line_frequency,sequence_length,artifacts,artifact_count
CL_157,SEQ_001,FIC,32,1,"HT 100,HT 103,HT 110,HT 114,HT 12,HT 121,HT 125,HT 129,HT 130,HT 18,HT 27,HT 28,HT 30,HT 6,HT 89,HT 90,HT 91,HT 94,HT 96,HT 99,KH 11,KH 15,KH 20,KH 21,KH 5,KH 73,KH 75,KH 88,KH 9,PH 14,ZA 1,ZA 8",32
CL_004,SEQ_002,AB81 AB02,31,2,"HT 100,HT 102,HT 104,HT 109,HT 110A,HT 116B,HT 117A,HT 118,HT 119,HT 11A,HT 11B,HT 122A,HT 122B,HT 123A,HT 123B,HT 127B,HT 13,HT 25B,HT 27A,HT 39,HT 40,HT 46A,HT 74,HT 85A,HT 88,HT 89,HT 94A,HT 94B,HT 9B,PH 31A,ZA 15B",31
CL_158,SEQ_003,GRA,24,1,"ARKH 3,ARKH 5,HT 101,HT 102,HT 114,HT 115,HT 121,HT 125,HT 129,HT 131,HT 14,HT 15,HT 18,HT 28,HT 52,HT 62 73,HT 90,HT 92,HT 95,HT 96,KH 10,KH 61,KH 91,ZA 1",24
CL_159,SEQ_004,KU RO,23,2,"HT 100,HT 102,HT 104,HT 109,HT 11,HT 110,HT 116,HT 117,HT 118,HT 119,HT 122,HT 123 124,HT 127,HT 13,HT 25,HT 27,HT 40,HT 88,HT 89,HT 9,HT 94,PH 31,ZA 15",23
CL_160,SEQ_005,VINA,18,1,"HT 100,HT 114,HT 121,HT 130,HT 23,HT 27,HT 28,HT 30,HT 35,HT 60,HT 89,HT 91,HT 99,KH 11,PH 25,PH 31,ZA 11,ZA 15",18
CL_078,SEQ_006,SA RA2,18,2,"HT 100,HT 101,HT 102,HT 105,HT 114,HT 121,HT 130,HT 18,HT 28,HT 30,HT 32,HT 33,HT 34,HT 90,HT 93,HT 94,HT 97,HT 99",18
CL_079,SEQ_007,AB31 AB76,17,2,"HT 100,HT 101,HT 102,HT 114A,HT 121,HT 130,HT 18,HT 28B,HT 30,HT 32,HT 33,HT 34,HT 90,HT 93A,HT 94A,HT 97B,HT 99A",17
CL_161,SEQ_008,*411VASB,13,1,"KH WC 2008,KH WC 2009,KH WC 2011,KH WC 2012,KH WC 2013,KH WC 2014,KH WC 2015,KH WC 2016,KH WC 2017,KH WC 2018,KH WC 2022,KH WC 2023,KH WC 2024",13
CL_006,SEQ_009,AB67 AB02,12,2,"HT 1,HT 117A,HT 123A,HT 123B,HT 15,HT 30,HT 34,HT 37,HT 55A,HT 88,HT 93B,HT 94B",12
CL_028,SEQ_010,OLE U,12,2,"HT 100,HT 101,HT 125,HT 140,HT 2,HT 21,HT 28,HT 44,HT 58,HT 91,HT 96,TY 3",12
CL_162,SEQ_011,VIR,11,1,"HT 105,HT 108,HT 119,HT 25,HT 27,HT 7,HT 93,HT 94,HT WC 3022,PE 1,TY 2",11
CL_163,SEQ_012,AB81,10,1,"ARKH 3A,ARKH 6,HT 101,HT 39,HT 40,HT 42 59,HT 45B,HT 49B,HT 62 73,KH 49",10
CL_164,SEQ_013,AB08,9,1,"ARKH 1B,ARKH 5,HT 57A,HT 97A,KH 17,KH 45,KH 58,PH 27,ZA 21A",9
CL_165,SEQ_014,AB41,9,1,"HT 154N,HT 51B,HT WA 1028,HT WA 1242,KH 47,KH 74,KH 76,KN ZB 4,PH 3B",9
CL_166,SEQ_015,OLIV,9,1,"ARKH 3,HT 101,HT 123 124,HT 21,HT 44,HT 58,HT 91,HT12,ZA 18",9
CL_167,SEQ_016,]FIC,9,1,"HT 110,HT 111,HT 131,HT 154E,HT 44,HT 96,KH 17,KH 30,KH 8",9
CL_029,SEQ_017,GRA PA,9,2,"HT 102,HT 120,HT 125,HT 128,PE 1,ZA 11,ZA 18,ZA 28,ZA 6",9
CL_028,SEQ_018,OLE KI,9,2,"HT 101,HT 140,HT 18,HT 28,HT 50,HT 8,HT 91,TY 3,ZA 18",9
CL_001,SEQ_019,[?] [?],9,2,"HT 136A,HT 154E,HT 27B,HT 49A,HT 54A,HT 72,KH 68,KH 70,PH 3A",9
CL_168,SEQ_020,AB02,8,1,"HT 110B,HT 130,KH 100,KH WA 1013,KH WA 1014,KH WA 1015,KH WA 1016,ZA 1B",8
CL_169,SEQ_021,DESUNT,8,1,"HT 154,HT 23,HT 47,HT 52,TY 3,ZA 16,ZA 5,ZA 7",8
CL_001,SEQ_022,AB08 AB51,8,2,"HT 133,HT 85A,HT 86A,HT 88,HT 92,HT 95B,HT 99A,KH 23",8
CL_170,SEQ_023,AB28 AB76,8,2,"HT WA 1006,HT WA 1007,HT WA 1008,HT WA 1009,HT WA 1010,HT WA 1011,HT WA 1012,HT WA 1013",8
CL_002,SEQ_024,KI RO,8,2,"HT 123 124,HT 15,HT 30,HT 34,HT 37,HT 55,HT 88,HT 94",8
CL_171,SEQ_025,OLE MI,8,2,"HT 100,HT 101,HT 137,HT 28,HT 50,HT 90,HT 91,TY 3",8
CL_080,SEQ_026,AB59,7,1,"ARKH 4A,HT 109,HT 42 59,HT 49B,HT 66,PH 7B,ZA 24B",7
CL_036,SEQ_027,A DU,7,2,"HT 133,HT 85,HT 86,HT 88,HT 92,HT 95,HT 99",7
CL_081,SEQ_028,AB81 AB56 AB55,7,3,"HT 1,HT 117A,HT 122A,HT 3,HT 49A,HT 88,PH 31A",7
CL_011,SEQ_029,MI JA RU,7,3,"HT 23,HT 32,HT 34,HT 35,HT 81,KH 12,KH 60",7
CL_030,SEQ_030,QA [?] PU,7,3,"HT 12,HT 23,HT 30,HT 32,HT 34,HT 35,HT 60",7
CL_172,SEQ_031,*164D,6,1,"KH WC 2036,KH WC 2037,KH WC 2038,KH WC 2039,KH WC 2045,KH WC 2111",6
CL_173,SEQ_032,AB67,6,1,"ARKH 1A,HT 154,HT 54A,HT 54B,HT 81,ZA 21B",6
CL_174,SEQ_033,AB77,6,1,"HT 47A,HT 49B,HT 79 83,HT WA 1028,KH 36,MI 2",6
CL_175,SEQ_034,OLE,6,1,"ARKH 3,HT 101,HT 114,HT 121,HT 139,HT 60",6
CL_010,SEQ_035,AB31 AB26,6,2,"HT 123A,HT 86A,HT 86B,HT 94B,HT 95A,HT 95B",6
CL_045,SEQ_036,I [?],6,2,"HT 154,KH 12,KH WC 2066,KH WC 2070,ZA 1,ZA 11",6
CL_176,SEQ_037,OLE TA,6,2,"HT 30,HT 35,KH 19,KH 55,KH 61,KH 85",6
CL_177,SEQ_038,VIN TE,6,2,HT9,1
CL_037,SEQ_039,KU PA3 NU,6,3,"HT 1,HT 117,HT 122,HT 49,HT 88,PH 31",6
CL_178,SEQ_040,AB10,5,1,"ARKH 4B,HT 126A,HT 47A,HT 56A,HT 58",5
CL_179,SEQ_041,AB24,5,1,"HT 127B,HT 52B,HT 55A,KH 53,PH 31B",5
CL_180,SEQ_042,AB28,5,1,"HT 49B,HT 55B,KH 59,KH 7A,ZA 6A",5
CL_181,SEQ_043,AB60,5,1,"HT 147,HT 53A,KH 14,KH 47,ZA 22",5
CL_182,SEQ_044,AB78,5,1,"HT 146,HT 27A,HT 55B,HT WC 3014B,KH 50",5
