seq_id_a,sequence_a,seq_id_b,sequence_b,similarity
SEQ_019,[?] [?],SEQ_1376,[?] [?] [?],0.733333
SEQ_579,AB73 [?],SEQ_1113,AB73 [?] [?],0.666667
SEQ_679,KU PA3,SEQ_1222,KU PA3 PA3,0.666667
SEQ_801,[?] AB08,SEQ_1375,[?] [?] AB08,0.666667
SEQ_1415,A RA A TU,SEQ_892,A RA TU,0.650000
SEQ_1431,A333 AB07 AB58 AB77,SEQ_1652,A333 AB07 AB06 AB58 AB77,0.640000
SEQ_1437,AB01 AB81 AB09 AB24,SEQ_1653,AB01 AB81 AB09 AB24 AB37,0.640000
SEQ_1437,AB01 AB81 AB09 AB24,SEQ_1677,AB56 AB01 AB81 AB09 AB24,0.640000
SEQ_1547,DA KU SE NE,SEQ_1692,DA KU SE NE TI,0.640000
SEQ_1644,A DU KU MI NA,SEQ_1410,A KU MI NA,0.640000
SEQ_1660,AB08 AB51 AB81 AB73 AB06,SEQ_1472,AB08 AB81 AB73 AB06,0.640000
SEQ_026,AB59,SEQ_558,AB59 AB59,0.600000
SEQ_029,MI JA RU,SEQ_1632,]KA MI JA RU,0.600000
SEQ_030,QA [?] PU,SEQ_1592,QA [?] PU RE,0.600000
SEQ_030,QA [?] PU,SEQ_311,QA [?] RE PU,0.600000
SEQ_057,QA [?] RE,SEQ_311,QA [?] RE PU,0.600000
SEQ_060,AB07,SEQ_443,AB07 AB07,0.600000
SEQ_100,AB04,SEQ_436,AB04 AB04,0.600000
SEQ_1044,AB41 AB28 AB41,SEQ_493,AB28 AB41,0.600000
SEQ_1046,AB41 AB67 AB60,SEQ_1458,AB08 AB41 AB67 AB60,0.600000
SEQ_1058,AB51 AB27 AB17,SEQ_144,AB51 AB27 AB17 AB09,0.600000
SEQ_1064,AB53 AB26 AB80,SEQ_1503,AB53 AB26 AB80 AB37,0.600000
SEQ_1110,AB73 AB01 AB38,SEQ_1490,AB31 AB73 AB01 AB38,0.600000
SEQ_1148,AB81 AB73 AB06,SEQ_1472,AB08 AB81 AB73 AB06,0.600000
SEQ_1176,DU RE ZA,SEQ_1555,DU RE ZA SE,0.600000
SEQ_1254,PA RA NE,SEQ_1413,A PA RA NE,0.600000
SEQ_1254,PA RA NE,SEQ_1638,]RU PA RA NE,0.600000
SEQ_1265,QA NU MA,SEQ_1590,QA NU MA QIF,0.600000
