entry_id,canonical_line_id,artifact_id,sequence_surface,quantity,signs_raw,signs_canonical,groups_raw,sign_count,group_count,source_count,provenance_tags
1,CLINE_0001,ARKH 1,A PA,,A PA,A PA,A PA,2,2,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
2,CLINE_0002,ARKH 1,A RA[,,A RA[,A RA[,A RA[,2,2,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
3,CLINE_0003,ARKH 1,PA RE,,PA RE,PA RE,PA RE,2,2,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
4,CLINE_0004,ARKH 1,]A SU MI,,]A SU MI,]A SU MI,]A SU MI,3,3,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
5,CLINE_0005,ARKH 1,]MI KI SA NE[,,]MI KI SA NE[,]MI KI SA NE[,]MI KI SA NE[,4,4,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
6,CLINE_0006,ARKH 1,]PA3[,,]PA3[,]PA3[,]PA3[,1,1,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
7,CLINE_0007,ARKH 1,]TA PI,,]TA PI,]TA PI,]TA PI,2,2,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
8,CLINE_0008,ARKH 1A,AB08 AB03 [?],,AB08 AB03 [?],AB08 AB03 [?],AB08 AB03 [?],3,3,1,http://sigla.phis.me/document/ARKH%201a/index-word.html
9,CLINE_0009,ARKH 1A,AB08 AB58 AB73 AB118,,AB08 AB58 AB73 AB118,AB08 AB58 AB73 AB118,AB08 AB58 AB73 AB118,4,4,1,http://sigla.phis.me/document/ARKH%201a/index-word.html
10,CLINE_0010,ARKH 1A,AB08 AB60,,AB08 AB60,AB08 AB60,AB08 AB60,2,2,1,http://sigla.phis.me/document/ARKH%201a/index-word.html
11,CLINE_0011,ARKH 1A,AB59 AB39,,AB59 AB39,AB59 AB39,AB59 AB39,2,2,1,http://sigla.phis.me/document/ARKH%201a/index-word.html
12,CLINE_0012,ARKH 1A,AB67,,AB67,AB67,AB67,1,1,1,http://sigla.phis.me/document/ARKH%201a/index-word.html
13,CLINE_0013,ARKH 1A,AB73 AB67 AB31 AB24,,AB73 AB67 AB31 AB24,AB73 AB67 AB31 AB24,AB73 AB67 AB31 AB24,4,4,1,http://sigla.phis.me/document/ARKH%201a/index-word.html
14,CLINE_0014,ARKH 1B,AB06,,AB06,AB06,AB06,1,1,1,http://sigla.phis.me/document/ARKH%201b/index-word.html
15,CLINE_0015,ARKH 1B,AB08,,AB08,AB08,AB08,1,1,1,http://sigla.phis.me/document/ARKH%201b/index-word.html
16,CLINE_0016,ARKH 1B,AB56,,AB56,AB56,AB56,1,1,1,http://sigla.phis.me/document/ARKH%201b/index-word.html
17,CLINE_0017,ARKH 1B,AB57 AB27,,AB57 AB27,AB57 AB27,AB57 AB27,2,2,1,http://sigla.phis.me/document/ARKH%201b/index-word.html
18,CLINE_0018,ARKH 2,A SI DA TO I,,A SI DA TO I,A SI DA TO I,A SI DA TO I,5,5,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
19,CLINE_0019,ARKH 2,A SU PU WA,,A SU PU WA,A SU PU WA,A SU PU WA,4,4,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
20,CLINE_0020,ARKH 2,AB08 AB41 AB01 AB05 AB28,,AB08 AB41 AB01 AB05 AB28,AB08 AB41 AB01 AB05 AB28,AB08 AB41 AB01 AB05 AB28,5,5,1,http://sigla.phis.me/document/ARKH%202/index-word.html
21,CLINE_0021,ARKH 2,AB08 AB58 AB50 AB54,,AB08 AB58 AB50 AB54,AB08 AB58 AB50 AB54,AB08 AB58 AB50 AB54,4,4,1,http://sigla.phis.me/document/ARKH%202/index-word.html
22,CLINE_0022,ARKH 2,AB26 AB73,,AB26 AB73,AB26 AB73,AB26 AB73,2,2,1,http://sigla.phis.me/document/ARKH%202/index-word.html
23,CLINE_0023,ARKH 2,AB41 AB01 AB04,,AB41 AB01 AB04,AB41 AB01 AB04,AB41 AB01 AB04,3,3,1,http://sigla.phis.me/document/ARKH%202/index-word.html
24,CLINE_0024,ARKH 2,AB79 A301 AB09 AB45 AB21F AB118,,AB79 A301 AB09 AB45 AB21F AB118,AB79 A301 AB09 AB45 AB21F AB118,AB79 A301 AB09 AB45 AB21F AB118,6,6,1,http://sigla.phis.me/document/ARKH%202/index-word.html
25,CLINE_0025,ARKH 2,AB81 AB60 AB131B,,AB81 AB60 AB131B,AB81 AB60 AB131B,AB81 AB60 AB131B,3,3,1,http://sigla.phis.me/document/ARKH%202/index-word.html
26,CLINE_0026,ARKH 2,KU RA,,KU RA,KU RA,KU RA,2,2,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
27,CLINE_0027,ARKH 2,RU MI,,RU MI,RU MI,RU MI,2,2,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
28,CLINE_0028,ARKH 2,SI DA TE,,SI DA TE,SI DA TE,SI DA TE,3,3,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
29,CLINE_0029,ARKH 2,VINB,,VINB,VINB,VINB,1,1,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
30,CLINE_0030,ARKH 2,ZU SE DE QIF,,ZU SE DE QIF,ZU SE DE QIF,ZU SE DE QIF,4,4,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
31,CLINE_0031,ARKH 3,GRA,,GRA,GRA,GRA,1,1,3,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
32,CLINE_0032,ARKH 3,GRA[,,GRA[,GRA[,GRA[,1,1,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
33,CLINE_0033,ARKH 3,JA PI,,JA PI,JA PI,JA PI,2,2,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
34,CLINE_0034,ARKH 3,KA NE,,KA NE,KA NE,KA NE,2,2,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
35,CLINE_0035,ARKH 3,OLE,,OLE,OLE,OLE,1,1,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
36,CLINE_0036,ARKH 3,OLIV,,OLIV,OLIV,OLIV,1,1,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
37,CLINE_0037,ARKH 3,VINB,,VINB,VINB,VINB,1,1,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
38,CLINE_0038,ARKH 3,]KI NU,,]KI NU,]KI NU,]KI NU,2,2,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
39,CLINE_0039,ARKH 3,]PI PU3,,]PI PU3,]PI PU3,]PI PU3,2,2,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
40,CLINE_0040,ARKH 3,]VINA,,]VINA,]VINA,]VINA,1,1,1,https://web.archive.org/web/20190416192926/http://www.people.ku.edu/~jyounger/LinearA/misctexts.html
41,CLINE_0041,ARKH 3A,AB67 AB55,,AB67 AB55,AB67 AB55,AB67 AB55,2,2,1,http://sigla.phis.me/document/ARKH%203a/index-word.html
42,CLINE_0042,ARKH 3A,AB77 AB24,,AB77 AB24,AB77 AB24,AB77 AB24,2,2,1,http://sigla.phis.me/document/ARKH%203a/index-word.html
43,CLINE_0043,ARKH 3A,AB81,,AB81,AB81,AB81,1,1,1,http://sigla.phis.me/document/ARKH%203a/index-word.html
44,CLINE_0044,ARKH 3B,AB39 A314,,AB39 A314,AB39 A314,AB39 A314,2,2,1,http://sigla.phis.me/document/ARKH%203b/index-word.html
