observation_id,artifact_id,line_id,token_index,original_sign,canonical_sign,mapping_status,mapping_confidence,uncertainty_flag,mapping_notes
OBS_000001,HT10,1,0,KU,KU,identity,1.000000,0,
OBS_000001,HT10,1,1,RA2,RA2,exact,1.000000,0,Canonical sign form
OBS_000001,HT10,1,2,TA,TA,identity,1.000000,0,
OBS_000002,HT10,2,0,DA,DA,identity,1.000000,0,
OBS_000002,HT10,2,1,NE,NE,identity,1.000000,0,
OBS_000003,HT10,3,0,KU,KU,identity,1.000000,0,
OBS_000003,HT10,3,1,RA2,RA2,exact,1.000000,0,Canonical sign form
OBS_000003,HT10,3,2,TE,TE,identity,1.000000,0,
OBS_000004,HT10,4,0,KU,KU,identity,1.000000,0,
OBS_000004,HT10,4,1,RA2,RA2,exact,1.000000,0,Canonical sign form
OBS_000004,HT10,4,2,SI,SI,identity,1.000000,0,
OBS_000005,HT10,5,0,KU,KU,identity,1.000000,0,
OBS_000005,HT10,5,1,RA2,RA2,exact,1.000000,0,Canonical sign form
OBS_000005,HT10,5,2,NE,NE,identity,1.000000,0,
OBS_000006,HT10,6,0,KU,KU,identity,1.000000,0,
OBS_000006,HT10,6,1,RA2,RA2,exact,1.000000,0,Canonical sign form
OBS_000007,HT10,28,0,KU,KU,identity,1.000000,0,
OBS_000007,HT10,28,1,RA2,RA2,exact,1.000000,0,Canonical sign form
OBS_000007,HT10,28,2,TA,TA,identity,1.000000,0,
OBS_000008,HT10,29,0,DA,DA,identity,1.000000,0,
OBS_000008,HT10,29,1,NE,NE,identity,1.000000,0,
OBS_000009,HT10,30,0,KU,KU,identity,1.000000,0,
OBS_000009,HT10,30,1,RA2,RA2,exact,1.000000,0,Canonical sign form
OBS_000009,HT10,30,2,TE,TE,identity,1.000000,0,
OBS_000010,HT10,31,0,KU,KU,identity,1.000000,0,
OBS_000010,HT10,31,1,RA2,RA2,exact,1.000000,0,Canonical sign form
OBS_000010,HT10,31,2,SI,SI,identity,1.000000,0,
OBS_000011,HT10,32,0,KU,KU,identity,1.000000,0,
OBS_000011,HT10,32,1,RA2,RA2,exact,1.000000,0,Canonical sign form
OBS_000011,HT10,32,2,NE,NE,identity,1.000000,0,
OBS_000012,HT10,33,0,KU,KU,identity,1.000000,0,
OBS_000012,HT10,33,1,RA2,RA2,exact,1.000000,0,Canonical sign form
OBS_000013,HT12,1,0,OLIV,OLIV,exact,1.000000,0,Canonical sign form
OBS_000014,HT12,2,0,QA,QA,identity,1.000000,0,
OBS_000014,HT12,2,1,TU,TU,identity,1.000000,0,
OBS_000015,HT12,3,0,QE,QE,identity,1.000000,0,
OBS_000015,HT12,3,1,TU,TU,identity,1.000000,0,
OBS_000015,HT12,3,2,NE,NE,identity,1.000000,0,
OBS_000016,HT12,4,0,DA,DA,identity,1.000000,0,
OBS_000016,HT12,4,1,I,I,identity,1.000000,0,
OBS_000017,HT12,5,0,MA,MA,identity,1.000000,0,
OBS_000017,HT12,5,1,RU,RU,identity,1.000000,0,
OBS_000018,HT12,6,0,KU,KU,identity,1.000000,0,
OBS_000018,HT12,6,1,RA2,RA2,exact,1.000000,0,Canonical sign form
OBS_000019,HT12,28,0,OLIV,OLIV,exact,1.000000,0,Canonical sign form
OBS_000020,HT12,29,0,QA,QA,identity,1.000000,0,
OBS_000020,HT12,29,1,TU,TU,identity,1.000000,0,
OBS_000021,HT12,30,0,QE,QE,identity,1.000000,0,
OBS_000021,HT12,30,1,TU,TU,identity,1.000000,0,
OBS_000021,HT12,30,2,NE,NE,identity,1.000000,0,
OBS_000022,HT12,31,0,DA,DA,identity,1.000000,0,
OBS_000022,HT12,31,1,I,I,identity,1.000000,0,
OBS_000023,HT12,32,0,MA,MA,identity,1.000000,0,
OBS_000023,HT12,32,1,RU,RU,identity,1.000000,0,
OBS_000024,HT12,33,0,KU,KU,identity,1.000000,0,
OBS_000024,HT12,33,1,RA2,RA2,exact,1.000000,0,Canonical sign form
OBS_000025,HT13,1,0,AB51,AB51,identity,1.000000,0,
OBS_000025,HT13,1,1,AB24,AB24,identity,1.000000,0,
OBS_000025,HT13,1,2,AB22,AB22,exact,1.000000,0,Canonical sign form
OBS_000025,HT13,1,3,AB09,AB09,identity,1.000000,0,
OBS_000026,HT13,2,0,AB81,AB81,identity,1.000000,0,
OBS_000026,HT13,2,1,AB02,AB02,identity,1.000000,0,
OBS_000026,HT13,2,2,AB22,AB22,exact,1.000000,0,Canonical sign form
OBS_000026,HT13,2,3,AB67,AB67,exact,1.000000,0,Canonical sign form
OBS_000027,HT13,3,0,AB04,AB04,identity,1.000000,0,
OBS_000027,HT13,3,1,AB40,AB40,identity,1.000000,0,
