scenario_id,scenario_type,w_corpus_adequacy_score,w_normalization_stability_score,w_template_predictability_score,w_out_of_sample_performance_score,w_adversarial_robustness_score,raw_confidence,capped_confidence
base,base_weights,0.250000,0.200000,0.200000,0.200000,0.150000,71.357408,71.357408
oat_corpus_adequacy_score_minus,one_at_a_time,0.184783,0.217391,0.217391,0.217391,0.163043,68.866748,68.866748
oat_corpus_adequacy_score_plus,one_at_a_time,0.305556,0.185185,0.185185,0.185185,0.138889,73.479082,73.479082
oat_normalization_stability_score_minus,one_at_a_time,0.271739,0.130435,0.217391,0.217391,0.163043,69.058301,69.058301
oat_normalization_stability_score_plus,one_at_a_time,0.231481,0.259259,0.185185,0.185185,0.138889,73.315907,73.315907
oat_template_predictability_score_minus,one_at_a_time,0.271739,0.217391,0.130435,0.217391,0.163043,75.593804,75.593804
oat_template_predictability_score_plus,one_at_a_time,0.231481,0.185185,0.259259,0.185185,0.138889,67.748627,67.748627
oat_out_of_sample_performance_score_minus,one_at_a_time,0.271739,0.217391,0.217391,0.130435,0.163043,73.214574,73.214574
oat_out_of_sample_performance_score_plus,one_at_a_time,0.231481,0.185185,0.185185,0.259259,0.138889,69.775378,69.775378
oat_adversarial_robustness_score_minus,one_at_a_time,0.271739,0.217391,0.217391,0.217391,0.076087,70.449237,70.449237
oat_adversarial_robustness_score_plus,one_at_a_time,0.231481,0.185185,0.185185,0.185185,0.212963,72.131036,72.131036
rand_001,random_weights,0.026799,0.046085,0.091287,0.591763,0.244065,58.806600,58.806600
rand_002,random_weights,0.199493,0.192660,0.112995,0.299675,0.195177,72.298494,72.298494
rand_003,random_weights,0.060167,0.236421,0.271682,0.317767,0.113963,60.499254,60.499254
rand_004,random_weights,0.306043,0.060826,0.056217,0.426689,0.150225,71.448667,71.448667
rand_005,random_weights,0.032234,0.306802,0.409359,0.186727,0.064878,57.138609,57.138609
rand_006,random_weights,0.147118,0.326377,0.164337,0.294764,0.067404,70.602870,70.602870
rand_007,random_weights,0.203119,0.064706,0.180874,0.529701,0.021601,58.986741,58.986741
rand_008,random_weights,0.238382,0.178058,0.139728,0.235669,0.208163,73.226487,73.226487
rand_009,random_weights,0.079774,0.216756,0.185844,0.169758,0.347868,70.326772,70.326772
rand_010,random_weights,0.127049,0.104238,0.126977,0.441500,0.200236,64.228303,64.228303
rand_011,random_weights,0.090066,0.360691,0.304031,0.220555,0.024657,64.208777,64.208777
rand_012,random_weights,0.379053,0.015817,0.254698,0.296578,0.053854,64.452441,64.452441
rand_013,random_weights,0.379571,0.304461,0.068609,0.197328,0.050032,83.244775,83.244775
rand_014,random_weights,0.268074,0.222505,0.202865,0.205290,0.101265,71.708576,71.708576
rand_015,random_weights,0.289073,0.219867,0.185546,0.259974,0.045539,71.334130,71.334130
rand_016,random_weights,0.338968,0.312072,0.226640,0.075899,0.046421,77.139676,77.139676
rand_017,random_weights,0.157632,0.338802,0.154920,0.184049,0.164596,75.070954,75.070954
rand_018,random_weights,0.181798,0.237373,0.267156,0.009908,0.303766,72.786122,72.786122
rand_019,random_weights,0.054447,0.250147,0.269300,0.095725,0.330381,67.816927,67.816927
rand_020,random_weights,0.150012,0.249023,0.156298,0.286461,0.158206,70.157842,70.157842
rand_021,random_weights,0.056506,0.062397,0.265932,0.441147,0.174018,54.065529,54.065529
rand_022,random_weights,0.120107,0.014704,0.216036,0.411431,0.237722,58.357016,58.357016
rand_023,random_weights,0.324011,0.112273,0.335729,0.141840,0.086148,65.120530,65.120530
rand_024,random_weights,0.042678,0.242688,0.361021,0.028186,0.325428,64.204800,64.204800
rand_025,random_weights,0.460669,0.365947,0.077963,0.066254,0.029167,89.319087,84.990000
rand_026,random_weights,0.248061,0.195284,0.253928,0.125784,0.176943,70.416327,70.416327
rand_027,random_weights,0.168219,0.086461,0.117883,0.161791,0.465645,74.126303,74.126303
rand_028,random_weights,0.241376,0.070344,0.348956,0.263885,0.075439,58.282266,58.282266
rand_029,random_weights,0.233207,0.111523,0.274608,0.283334,0.097327,62.572391,62.572391
rand_030,random_weights,0.198644,0.177955,0.205625,0.197201,0.220575,69.826380,69.826380
rand_031,random_weights,0.121124,0.134025,0.303587,0.274699,0.166564,59.452696,59.452696
rand_032,random_weights,0.104084,0.119752,0.272249,0.264975,0.238939,61.077553,61.077553
rand_033,random_weights,0.324899,0.319112,0.083957,0.206993,0.065039,81.268769,81.268769
rand_034,random_weights,0.173137,0.418678,0.086140,0.191001,0.131044,80.478922,80.478922
rand_035,random_weights,0.079123,0.137144,0.009193,0.407975,0.366565,71.916972,71.916972
rand_036,random_weights,0.245683,0.043276,0.163760,0.333088,0.214193,66.683595,66.683595
rand_037,random_weights,0.089892,0.299844,0.098498,0.337594,0.174172,71.670183,71.670183
rand_038,random_weights,0.240309,0.185860,0.126710,0.268915,0.178206,73.099291,73.099291
rand_039,random_weights,0.128623,0.442350,0.019700,0.115904,0.293423,86.366496,84.990000
rand_040,random_weights,0.366639,0.446068,0.056691,0.033956,0.096646,91.175106,84.990000
rand_041,random_weights,0.297718,0.187517,0.025850,0.206477,0.282437,82.123304,82.123304
rand_042,random_weights,0.064422,0.131990,0.105924,0.313853,0.383811,68.837362,68.837362
rand_043,random_weights,0.082304,0.279454,0.196755,0.212723,0.228763,69.363868,69.363868
rand_044,random_weights,0.174666,0.056928,0.078742,0.402421,0.287243,68.434587,68.434587
rand_045,random_weights,0.189758,0.125584,0.198034,0.258989,0.227634,67.311126,67.311126
rand_046,random_weights,0.283144,0.124911,0.147173,0.161117,0.283655,75.121430,75.121430
rand_047,random_weights,0.132535,0.358961,0.348496,0.003991,0.156018,69.210383,69.210383
rand_048,random_weights,0.310240,0.266141,0.161200,0.180545,0.081874,76.425842,76.425842
rand_049,random_weights,0.226655,0.214328,0.202252,0.154913,0.201851,72.462348,72.462348
rand_050,random_weights,0.235030,0.196897,0.221445,0.166991,0.179637,70.816335,70.816335
rand_051,random_weights,0.212952,0.217195,0.108991,0.317705,0.143157,72.599348,72.599348
rand_052,random_weights,0.182757,0.043162,0.201321,0.278211,0.294549,65.059539,65.059539
rand_053,random_weights,0.182154,0.382014,0.307584,0.046150,0.082098,71.561875,71.561875
rand_054,random_weights,0.041534,0.112053,0.283721,0.297909,0.264783,58.090081,58.090081
rand_055,random_weights,0.201039,0.160075,0.129129,0.127047,0.382710,76.340690,76.340690
rand_056,random_weights,0.208874,0.375794,0.240204,0.122639,0.052489,73.502542,73.502542
rand_057,random_weights,0.051525,0.076334,0.211110,0.259670,0.401361,63.212380,63.212380
rand_058,random_weights,0.110977,0.136609,0.295247,0.263769,0.193398,60.150375,60.150375
rand_059,random_weights,0.194587,0.145658,0.236985,0.139622,0.283149,69.211724,69.211724
rand_060,random_weights,0.090392,0.120555,0.271878,0.010763,0.506411,68.947468,68.947468
rand_061,random_weights,0.241832,0.205324,0.250267,0.165467,0.137110,69.418189,69.418189
rand_062,random_weights,0.142540,0.657357,0.170073,0.007323,0.022708,84.615499,84.615499
rand_063,random_weights,0.054091,0.403606,0.117958,0.058561,0.365783,80.400721,80.400721
rand_064,random_weights,0.182818,0.221661,0.009860,0.230111,0.355551,80.772867,80.772867
rand_065,random_weights,0.292848,0.053056,0.311726,0.193356,0.149014,63.387982,63.387982
rand_066,random_weights,0.327517,0.082174,0.062183,0.166490,0.361635,80.102672,80.102672
rand_067,random_weights,0.080872,0.298071,0.299804,0.313323,0.007930,60.339749,60.339749
rand_068,random_weights,0.065561,0.399966,0.125423,0.182351,0.226699,76.172940,76.172940
rand_069,random_weights,0.110410,0.293466,0.050004,0.252433,0.293687,77.518781,77.518781
rand_070,random_weights,0.277322,0.051707,0.406861,0.034115,0.229995,62.519515,62.519515
rand_071,random_weights,0.187346,0.195706,0.243266,0.111730,0.261952,70.395890,70.395890
rand_072,random_weights,0.326101,0.199245,0.142303,0.046692,0.285659,81.019168,81.019168
rand_073,random_weights,0.308601,0.045227,0.278420,0.118639,0.249114,67.896034,67.896034
rand_074,random_weights,0.045429,0.258241,0.228829,0.415189,0.052313,60.017220,60.017220
rand_075,random_weights,0.318477,0.041514,0.224379,0.129614,0.286017,70.864547,70.864547
rand_076,random_weights,0.247185,0.194555,0.178441,0.252035,0.127785,70.839820,70.839820
rand_077,random_weights,0.352817,0.045027,0.297509,0.235158,0.069490,63.862678,63.862678
rand_078,random_weights,0.310067,0.129536,0.331536,0.129709,0.099152,65.776771,65.776771
rand_079,random_weights,0.318066,0.036561,0.277086,0.326699,0.041588,61.391962,61.391962
rand_080,random_weights,0.153083,0.247743,0.240781,0.127808,0.230586,70.240406,70.240406
rand_081,random_weights,0.126090,0.129967,0.222692,0.232048,0.289203,65.620488,65.620488
rand_082,random_weights,0.268355,0.183125,0.118969,0.054188,0.375363,80.852527,80.852527
rand_083,random_weights,0.345743,0.088467,0.381007,0.146028,0.038755,62.323263,62.323263
rand_084,random_weights,0.284335,0.269700,0.166305,0.116929,0.162731,77.732413,77.732413
rand_085,random_weights,0.198773,0.082146,0.304630,0.320232,0.094218,58.526278,58.526278
rand_086,random_weights,0.240944,0.169263,0.330299,0.044167,0.215327,67.947852,67.947852
rand_087,random_weights,0.232581,0.253356,0.270697,0.035110,0.208256,72.954950,72.954950
rand_088,random_weights,0.233272,0.193740,0.171485,0.229476,0.172028,71.702518,71.702518
rand_089,random_weights,0.200314,0.176287,0.276267,0.279169,0.067963,63.044086,63.044086
rand_090,random_weights,0.032891,0.303702,0.166196,0.199143,0.298067,71.092260,71.092260
rand_091,random_weights,0.238648,0.206727,0.162240,0.241520,0.150865,72.172040,72.172040
rand_092,random_weights,0.344546,0.192271,0.200010,0.150344,0.112829,74.532887,74.532887
rand_093,random_weights,0.175983,0.158136,0.282859,0.356510,0.026512,59.461377,59.461377
rand_094,random_weights,0.007427,0.240445,0.275714,0.152325,0.324089,64.626553,64.626553
rand_095,random_weights,0.116743,0.317848,0.127662,0.287384,0.150363,72.318122,72.318122
rand_096,random_weights,0.269695,0.301096,0.283338,0.023357,0.122514,74.019924,74.019924
rand_097,random_weights,0.014404,0.276360,0.251458,0.168908,0.288870,66.235721,66.235721
rand_098,random_weights,0.158828,0.010166,0.565630,0.073267,0.192109,49.060344,49.060344
rand_099,random_weights,0.149387,0.237005,0.270519,0.087912,0.255176,69.510792,69.510792
rand_100,random_weights,0.068927,0.198412,0.225907,0.252500,0.254253,64.834407,64.834407
rand_101,random_weights,0.185078,0.421796,0.077731,0.053135,0.262260,85.627962,84.990000
rand_102,random_weights,0.270801,0.215377,0.152269,0.263009,0.098544,72.802070,72.802070
rand_103,random_weights,0.047461,0.187440,0.347669,0.151572,0.265858,60.274188,60.274188
rand_104,random_weights,0.095831,0.197229,0.298114,0.033451,0.375376,67.999220,67.999220
rand_105,random_weights,0.333410,0.137734,0.129380,0.171131,0.228345,76.975483,76.975483
rand_106,random_weights,0.148886,0.521491,0.087123,0.162512,0.079987,82.530005,82.530005
rand_107,random_weights,0.162093,0.123554,0.346266,0.052094,0.315994,64.584947,64.584947
rand_108,random_weights,0.157011,0.250651,0.017629,0.426122,0.148588,74.073863,74.073863
rand_109,random_weights,0.365238,0.200617,0.098435,0.216426,0.119284,78.950928,78.950928
rand_110,random_weights,0.128858,0.354676,0.115864,0.156670,0.243932,77.982605,77.982605
rand_111,random_weights,0.233782,0.223713,0.198476,0.198853,0.145177,71.568252,71.568252
rand_112,random_weights,0.094685,0.243010,0.331951,0.243051,0.087304,60.043253,60.043253
rand_113,random_weights,0.135744,0.061228,0.400194,0.122775,0.280059,57.670221,57.670221
rand_114,random_weights,0.177885,0.262872,0.133317,0.195188,0.230739,75.148891,75.148891
rand_115,random_weights,0.304333,0.237211,0.054030,0.173859,0.230566,82.408648,82.408648
rand_116,random_weights,0.071183,0.036371,0.191693,0.310027,0.390725,62.478274,62.478274
