split,model,folds,test_lines,test_tokens,mean_log_likelihood_per_token,perplexity,ll_improvement_over_unigram,beats_unigram
artifact_held_out,null_unigram_frequency,244,2038,5335,-5.665386,364.466859,0.000000,0
artifact_held_out,bigram_markov,244,2038,5335,-5.519666,321.268328,0.145720,1
artifact_held_out,trigram_markov,244,2038,5335,-5.716440,381.248943,-0.051054,0
artifact_held_out,position_by_length_template,244,2038,5335,-5.530681,312.729138,0.134705,1
site_held_out,null_unigram_frequency,10,2559,6482,-5.900957,390.426924,0.000000,0
site_held_out,bigram_markov,10,2559,6482,-5.967208,400.179211,-0.066251,0
site_held_out,trigram_markov,10,2559,6482,-6.193772,498.205893,-0.292815,0
site_held_out,position_by_length_template,10,2559,6482,-5.894019,366.565044,0.006938,0
region_held_out,null_unigram_frequency,6,2593,6591,-6.060067,452.087231,0.000000,0
region_held_out,bigram_markov,6,2593,6591,-6.061448,439.834128,-0.001381,0
region_held_out,trigram_markov,6,2593,6591,-6.242239,527.880439,-0.182172,0
region_held_out,position_by_length_template,6,2593,6591,-5.964765,396.830541,0.095302,1
object_class_held_out,null_unigram_frequency,5,2593,6591,-6.069866,510.658713,0.000000,0
object_class_held_out,bigram_markov,5,2593,6591,-6.095844,485.305025,-0.025978,0
object_class_held_out,trigram_markov,5,2593,6591,-6.283470,584.103752,-0.213604,0
object_class_held_out,position_by_length_template,5,2593,6591,-5.924169,396.766997,0.145697,1
formula_class_held_out,null_unigram_frequency,6,2593,6591,-6.720946,1549.651071,0.000000,0
formula_class_held_out,bigram_markov,6,2593,6591,-6.570523,997.391644,0.150423,1
formula_class_held_out,trigram_markov,6,2593,6591,-6.640883,1054.692034,0.080063,1
formula_class_held_out,position_by_length_template,6,2593,6591,-6.639499,1052.661514,0.081447,1
inscription_length_held_out,null_unigram_frequency,3,2593,6591,-8.235636,11036.643756,0.000000,0
inscription_length_held_out,bigram_markov,3,2593,6591,-8.190071,8949.075326,0.045565,1
inscription_length_held_out,trigram_markov,3,2593,6591,-8.429379,10374.950471,-0.193743,0
inscription_length_held_out,position_by_length_template,3,2593,6591,-8.235636,11036.643756,0.000000,0
